method,lambda,reference_policy_type,shift,metric,pairs,mean,std,stderr,baseline_mean,relative_change_percent,paired_t,paired_t_p,wilcoxon_w,wilcoxon_p
hybrid_de_vjepa,0.01,strong,blur,latent_mse,6,0.23942841476654467,0.0072823144055326715,0.002972992406679076,0.2370315163820055,1.011215057442514,1.061121070364149,0.33717800311951596,3.0,0.125
hybrid_de_vjepa,0.01,strong,blur,decision_kl,6,640.9001223712979,133.7903817575934,54.619694633045114,740.6014890172282,-13.462215256714263,-2.5327583846115242,0.05235364585948305,1.0,0.0625
hybrid_de_vjepa,0.01,strong,blur,action_mse,6,0.16087922061149473,0.010121782444535127,0.0041322003794286065,0.16227709312107738,-0.8614108637869639,-0.9136352415430126,0.40281504338296403,8.0,0.6875
hybrid_de_vjepa,0.01,strong,brightness,latent_mse,6,0.051141057263630406,0.00019561749794903423,7.986050912251145e-05,0.05112585771054898,0.029729678409467865,0.1462848821616927,0.8894114580801988,10.0,0.875
hybrid_de_vjepa,0.01,strong,brightness,decision_kl,6,243.51138233101923,133.71821988855186,54.59023467337223,322.1195378486111,-24.403411243727767,-3.4204534725185542,0.018828954205691854,0.0,0.03125
hybrid_de_vjepa,0.01,strong,brightness,action_mse,6,0.07109627524273038,0.014056794100212674,0.00573866216081434,0.07567174344854062,-6.046468598839299,-2.6469499272224883,0.04559334800291126,3.0,0.15625
hybrid_de_vjepa,0.01,strong,clean,latent_mse,6,0.0017426744325035523,0.00014448492732751388,5.8985724579253035e-05,0.0015073137980981064,15.614574397343043,13.587158083177709,3.8706172982664256e-05,0.0,0.03125
hybrid_de_vjepa,0.01,strong,clean,decision_kl,6,0.2637727633947404,0.02656498585628051,0.01084511006202322,0.33434486098009075,-21.107576583793442,-22.740814081149228,3.0571580470495096e-06,0.0,0.03125
hybrid_de_vjepa,0.01,strong,clean,action_mse,6,0.0006440305731208282,3.928144282197045e-05,1.603658187902342e-05,0.0006998440340889555,-7.975128492848309,-4.06741686160833,0.009658434131767603,0.0,0.03125
hybrid_de_vjepa,0.01,strong,desaturate,latent_mse,6,0.2031073990335783,0.0061017192982991695,0.002491016472420998,0.20037028532777804,1.3660277527292661,1.8600698561450455,0.12195983284914665,3.0,0.125
hybrid_de_vjepa,0.01,strong,desaturate,decision_kl,6,4326.188703438462,2225.666788543646,908.6246615651396,4052.81403128426,6.745305115013488,1.7953112637895112,0.13255536287489036,4.0,0.21875
hybrid_de_vjepa,0.01,strong,desaturate,action_mse,6,0.37799497372709606,0.07076973682775105,0.028891624076506858,0.37448181709433886,0.938138107750147,1.0120587095185651,0.3579512586212903,5.0,0.3125
latent_only,0.0,none,blur,latent_mse,6,0.2370315163820055,0.00679701290211441,0.0027748688975490284,0.2370315163820055,0.0,,,,
latent_only,0.0,none,blur,decision_kl,6,740.6014890172282,204.92033031303558,83.65837453158692,740.6014890172282,0.0,,,,
latent_only,0.0,none,blur,action_mse,6,0.16227709312107738,0.01319834554550954,0.005388202005905612,0.16227709312107738,0.0,,,,
latent_only,0.0,none,brightness,latent_mse,6,0.05112585771054898,6.906474731680225e-05,2.819556502340319e-05,0.05112585771054898,0.0,,,,
latent_only,0.0,none,brightness,decision_kl,6,322.1195378486111,143.72618074237153,58.67596758297337,322.1195378486111,0.0,,,,
latent_only,0.0,none,brightness,action_mse,6,0.07567174344854062,0.014839905786934258,0.006058366168160699,0.07567174344854062,0.0,,,,
latent_only,0.0,none,clean,latent_mse,6,0.0015073137980981064,0.0001155208347457043,4.716118329789221e-05,0.0015073137980981064,0.0,,,,
latent_only,0.0,none,clean,decision_kl,6,0.33434486098009075,0.031811092077927046,0.012986823958602253,0.33434486098009075,0.0,,,,
latent_only,0.0,none,clean,action_mse,6,0.0006998440340889555,5.631115938236628e-05,2.2988934551889157e-05,0.0006998440340889555,0.0,,,,
latent_only,0.0,none,desaturate,latent_mse,6,0.20037028532777804,0.004023300119030862,0.001642505395617406,0.20037028532777804,0.0,,,,
latent_only,0.0,none,desaturate,decision_kl,6,4052.81403128426,2102.999701548914,858.5460330033583,4052.81403128426,0.0,,,,
latent_only,0.0,none,desaturate,action_mse,6,0.37448181709433886,0.06589310050081226,0.026900745632820123,0.37448181709433886,0.0,,,,
