method,planner_score,planner_alpha,planning_horizon,task,visual_condition,success_mean,success_std,success_stderr,success_count,return_mean,return_std,return_stderr,return_count,episode_length_mean,episode_length_std,episode_length_stderr,episode_length_count,final_distance_to_goal_mean,final_distance_to_goal_std,final_distance_to_goal_stderr,final_distance_to_goal_count,mean_action_norm_mean,mean_action_norm_std,mean_action_norm_stderr,mean_action_norm_count,mean_action_deviation_from_bc_mean,mean_action_deviation_from_bc_std,mean_action_deviation_from_bc_stderr,mean_action_deviation_from_bc_count,mean_selected_planner_score_mean,mean_selected_planner_score_std,mean_selected_planner_score_stderr,mean_selected_planner_score_count,mean_predicted_value_mean,mean_predicted_value_std,mean_predicted_value_stderr,mean_predicted_value_count,mean_policy_entropy_mean,mean_policy_entropy_std,mean_policy_entropy_stderr,mean_policy_entropy_count,mean_prediction_latent_mse_mean,mean_prediction_latent_mse_std,mean_prediction_latent_mse_stderr,mean_prediction_latent_mse_count,mean_decision_kl_mean,mean_decision_kl_std,mean_decision_kl_stderr,mean_decision_kl_count,mean_action_mse_mean,mean_action_mse_std,mean_action_mse_stderr,mean_action_mse_count,success_ci_low,success_ci_high
bc_only,bc_only,0.0,0,reach-v3,clean,0.0,0.0,0.0,5,942.3897257674367,434.57235156302295,194.34666384737125,5,200.0,0.0,0.0,5,0.18560923708944324,0.08310710033385249,0.03716662515187793,5,0.5773666332811118,0.05569494906136892,0.0249075384209218,5,0.0,0.0,0.0,5,,,,0,,,,0,-4.791457605361939,0.33773613884152864,0.15104019298159302,5,,,,0,,,,0,,,,0,0.0,0.0
bc_plus_vjepa_value_planner,value_score,0.1,1,reach-v3,clean,0.2,0.447213595499958,0.2,5,704.7006610908754,270.9388379269305,121.16753186988295,5,169.8,67.52925292049365,30.2,5,0.1765558391968219,0.09277067474690115,0.04148830701051881,5,0.5746583426678363,0.04333347070555142,0.01937931723972175,5,0.00882195082021758,0.004958668455791528,0.0022175839490067534,5,-0.6398352671933114,0.05487795220195287,0.024542166317910178,5,0.6398987015798991,0.05484474383584486,0.024527315085102332,5,-5.392019375302354,1.2117103930595288,0.5418933615848192,5,0.0067150783272797,0.0022851673361969607,0.001021957900739704,5,7.632291945913806,5.681773677767938,2.5409664352516192,5,0.00356469709655,0.0021430238900435866,0.0009583894191086988,5,0.0,0.6
bc_plus_de_vjepa_value_planner,value_score,0.1,1,reach-v3,clean,0.0,0.0,0.0,5,929.4479521799509,443.0877096901063,198.15484777235397,5,200.0,0.0,0.0,5,0.18334353561544425,0.07947203581916684,0.03554097488039105,5,0.5820396198332309,0.05283326513117674,0.023627754461316104,5,0.005559206883423,0.0009200895388574296,0.00041147655085432936,5,-0.6612688263505697,0.02280607606974326,0.010199187278395434,5,0.6613062824159861,0.02280430193069575,0.010198393859293078,5,-4.75235373723507,0.3160790644789898,0.14135485488791208,5,0.0072781101419823,0.0006407429848314119,0.0002865489740378307,5,11.428380780849604,5.949068341352828,2.660504242811369,5,0.00499139905575538,0.001986853922720606,0.0008885480865130777,5,0.0,0.0
bc_only,bc_only,0.0,0,ALL,clean,0.0,0.0,0.0,5,942.3897257674367,434.57235156302295,194.34666384737125,5,200.0,0.0,0.0,5,0.18560923708944324,0.08310710033385249,0.03716662515187793,5,0.5773666332811118,0.05569494906136892,0.0249075384209218,5,0.0,0.0,0.0,5,,,,0,,,,0,-4.791457605361939,0.33773613884152864,0.15104019298159302,5,,,,0,,,,0,,,,0,0.0,0.0
bc_plus_vjepa_value_planner,value_score,0.1,1,ALL,clean,0.2,0.447213595499958,0.2,5,704.7006610908754,270.9388379269305,121.16753186988295,5,169.8,67.52925292049365,30.2,5,0.1765558391968219,0.09277067474690115,0.04148830701051881,5,0.5746583426678363,0.04333347070555142,0.01937931723972175,5,0.00882195082021758,0.004958668455791528,0.0022175839490067534,5,-0.6398352671933114,0.05487795220195287,0.024542166317910178,5,0.6398987015798991,0.05484474383584486,0.024527315085102332,5,-5.392019375302354,1.2117103930595288,0.5418933615848192,5,0.0067150783272797,0.0022851673361969607,0.001021957900739704,5,7.632291945913806,5.681773677767938,2.5409664352516192,5,0.00356469709655,0.0021430238900435866,0.0009583894191086988,5,0.0,0.6
bc_plus_de_vjepa_value_planner,value_score,0.1,1,ALL,clean,0.0,0.0,0.0,5,929.4479521799509,443.0877096901063,198.15484777235397,5,200.0,0.0,0.0,5,0.18334353561544425,0.07947203581916684,0.03554097488039105,5,0.5820396198332309,0.05283326513117674,0.023627754461316104,5,0.005559206883423,0.0009200895388574296,0.00041147655085432936,5,-0.6612688263505697,0.02280607606974326,0.010199187278395434,5,0.6613062824159861,0.02280430193069575,0.010198393859293078,5,-4.75235373723507,0.3160790644789898,0.14135485488791208,5,0.0072781101419823,0.0006407429848314119,0.0002865489740378307,5,11.428380780849604,5.949068341352828,2.660504242811369,5,0.00499139905575538,0.001986853922720606,0.0008885480865130777,5,0.0,0.0
