method,planner_score,task,visual_condition,success_mean,success_std,success_count,return_mean,return_std,return_count,episode_length_mean,episode_length_std,episode_length_count,final_distance_to_goal_mean,final_distance_to_goal_std,final_distance_to_goal_count,mean_action_norm_mean,mean_action_norm_std,mean_action_norm_count,mean_action_deviation_from_bc_mean,mean_action_deviation_from_bc_std,mean_action_deviation_from_bc_count,mean_selected_planner_score_mean,mean_selected_planner_score_std,mean_selected_planner_score_count,mean_policy_entropy_mean,mean_policy_entropy_std,mean_policy_entropy_count,mean_prediction_latent_mse_mean,mean_prediction_latent_mse_std,mean_prediction_latent_mse_count,mean_decision_kl_mean,mean_decision_kl_std,mean_decision_kl_count,mean_action_mse_mean,mean_action_mse_std,mean_action_mse_count,success_stderr,return_stderr,episode_length_stderr,final_distance_to_goal_stderr,mean_action_norm_stderr,mean_action_deviation_from_bc_stderr,mean_selected_planner_score_stderr,mean_policy_entropy_stderr,mean_prediction_latent_mse_stderr,mean_decision_kl_stderr,mean_action_mse_stderr
bc_only,bc_only,button-press-v3,background_shift,0.8,0.4033755872716886,60,48.4148223215379,25.80419998072539,60,101.51666666666667,49.72006097418663,60,0.02245151719652567,0.012438033940130537,60,0.7730687330205878,0.022705361279843635,60,0.0,0.0,60,,,0,-0.900240286759294,0.46944438175429143,60,,,0,,,0,,,0,0.05207556439232955,3.331307892918506,6.418832270848071,0.0016057432769896064,0.002931249536881904,0.0,,0.06060500908350025,,,
bc_only,bc_only,button-press-v3,brightness,0.3333333333333333,0.4753826885415283,60,64.46472554186735,22.99272526690637,60,165.08333333333334,49.8364415258032,60,0.059165171032525804,0.03509174636038698,60,0.7889508053268407,0.02833958897970243,60,0.0,0.0,60,,,0,-2.3082595849267236,0.5007666434997383,60,,,0,,,0,,,0,0.061371641193221554,2.968348068088362,6.433856935455852,0.00453032497477045,0.003658625205225025,0.0,,0.06464869568702243,,,
bc_only,bc_only,button-press-v3,clean,0.9833333333333333,0.12909944487358055,60,57.47744126588154,18.49086189274172,60,72.11666666666666,17.624224148488302,60,0.01952582470312464,0.0008372418774424455,60,0.8601143511181804,0.03401529145204054,60,0.0,0.0,60,,,0,-2.6227727458575476,0.4400215504964713,60,,,0,,,0,,,0,0.016666666666666663,2.3871600055870013,2.275277553897393,0.00010808746160273407,0.004391355243671484,0.0,,0.05680653790150664,,,
bc_only,bc_only,drawer-open-v3,background_shift,0.0,0.0,60,595.4688118256597,277.90254198032153,60,200.0,0.0,60,0.16410117835339572,0.04318396584283681,60,0.3633318909878532,0.05008780057051304,60,0.0,0.0,60,,,0,-1.9173963669538496,0.38564462341553996,60,,,0,,,0,,,0,0.0,35.87706389861643,0.0,0.0055750260177498965,0.006466307248591845,0.0,,0.04978650680142723,,,
bc_only,bc_only,drawer-open-v3,brightness,0.0,0.0,60,266.35521613097313,33.65492482887056,60,200.0,0.0,60,0.1899806105136971,0.0002198180685391315,60,0.7268457076468816,0.11977899915429283,60,0.0,0.0,60,,,0,-6.159035967051983,1.1294021256554205,60,,,0,,,0,,,0,0.0,4.344832112669272,0.0,2.837839062158456e-05,0.015463402298332278,0.0,,0.14580518746115667,,,
bc_only,bc_only,drawer-open-v3,clean,1.0,0.0,60,372.46054845311573,37.62804813962679,60,92.96666666666667,7.135413393335058,60,0.02769664645784942,0.0011701495252811607,60,1.1889102503861193,0.025387169196032917,60,0.0,0.0,60,,,0,-8.252214808109187,0.5751666287529218,60,,,0,,,0,,,0,0.0,4.857760126502185,0.9211779080230676,0.00015106565413288165,0.003277469450119514,0.0,,0.074253692481811,,,
bc_only,bc_only,reach-v3,background_shift,0.1,0.30253169045376643,60,720.8149351525865,306.28204159071004,60,184.81666666666666,46.07565321521811,60,0.25158229018390627,0.07870238399881468,60,0.6716384341682266,0.04579711608248877,60,0.0,0.0,60,,,0,-2.9283413603001387,0.20268837851409022,60,,,0,,,0,,,0,0.039056673294247155,39.54084154410758,5.948341252272265,0.010160434084474345,0.005912382263060229,0.0,,0.02616695714849522,,,
bc_only,bc_only,reach-v3,brightness,0.08333333333333333,0.2787178067853022,60,723.9516130338412,362.3307189434226,60,186.03333333333333,46.7300094726155,60,0.21635708141582125,0.0730920551343142,60,0.9081121293459347,0.056156027189935155,60,0.0,0.0,60,,,0,-4.731762046896763,0.3638550822242072,60,,,0,,,0,,,0,0.0359823141323644,46.7766946762412,6.032818281851822,0.009436143742509107,0.007249711936526324,0.0,,0.04697348912957616,,,
bc_only,bc_only,reach-v3,clean,0.38333333333333336,0.4903014177279,60,802.5670030562238,455.4687372315998,60,141.4,75.26477556385834,60,0.12382551931154712,0.06952503498194823,60,0.6031705125922653,0.09370093053490688,60,0.0,0.0,60,,,0,-6.069883516002461,0.7151959897976155,60,,,0,,,0,,,0,0.06329764084940141,58.80076113387027,9.716640743828743,0.008975643420985786,0.012096738116194413,0.0,,0.09233140525868314,,,
bc_plus_de_vjepa,action_mean_consistency_score,button-press-v3,background_shift,0.8,0.4033755872716886,60,48.4148223215379,25.80419998072539,60,101.51666666666667,49.72006097418663,60,0.02245151719652567,0.012438033940130537,60,0.7730687330205878,0.022705361279843635,60,0.0,0.0,60,0.0007869982036127374,0.0002528632540907887,60,-0.900240286759294,0.46944438175429143,60,0.010562998447449222,0.0018245990360171536,60,3.5460570571726344,1.14095696877491,60,0.0011558476125456316,0.0002513443639816176,60,0.05207556439232955,3.331307892918506,6.418832270848071,0.0016057432769896064,0.002931249536881904,0.0,3.264450573204797e-05,0.06060500908350025,0.00023555472266668476,0.14729691129348405,3.244841786213001e-05
bc_plus_de_vjepa,action_mean_consistency_score,button-press-v3,brightness,0.3333333333333333,0.4753826885415283,60,64.46472554186735,22.99272526690637,60,165.08333333333334,49.8364415258032,60,0.059165171032525804,0.03509174636038698,60,0.7889508053268407,0.02833958897970243,60,0.0,0.0,60,0.0018161748430916913,0.0005374159980666967,60,-2.3082595849267236,0.5007666434997383,60,0.0075954366800701145,0.0010303827959446646,60,3.7155944287396294,1.655304047312527,60,0.002341424550708992,0.0006169470991135517,60,0.061371641193221554,2.968348068088362,6.433856935455852,0.00453032497477045,0.003658625205225025,0.0,6.938010701659179e-05,0.06464869568702243,0.00013302184696374402,0.21369883360503836,7.964752801192542e-05
bc_plus_de_vjepa,action_mean_consistency_score,button-press-v3,clean,0.9833333333333333,0.12909944487358055,60,57.71238471938782,18.459068507158726,60,72.3,17.602291838453926,60,0.01946888482634103,0.0008340323967929823,60,0.8599775914764762,0.03407952723126824,60,0.00029174605068666234,0.0004926730897644376,60,0.0020590225734030574,0.0005044977652898095,60,-2.628808223764597,0.44940404998979966,60,0.003678638341785694,0.0006564975001306539,60,0.760547374912388,0.6193161794474309,60,0.0009427911431855603,0.0003629167525000966,60,0.016666666666666663,2.383055497157585,2.27244610484716,0.00010767311943255588,0.004399648047110801,6.360382239274063e-05,6.513038143887634e-05,0.058017813377621984,8.47534628277608e-05,0.07995337496789012,4.68523512830851e-05
bc_plus_de_vjepa,action_mean_consistency_score,drawer-open-v3,background_shift,0.0,0.0,60,595.4670499353009,277.903088930709,60,200.0,0.0,60,0.16410109989605204,0.043184144088888154,60,0.36332110290043057,0.050101788592161814,60,3.6664154225339492e-06,1.1290567951164711e-05,60,0.008144671687245137,0.0021726769479269,60,-1.917286656861504,0.38577085958950647,60,0.009477429134693618,0.001762306351900608,60,133.107516904292,62.94920043606397,60,0.00850834562226737,0.002224581515069338,60,0.0,35.87713450960782,0.0,0.005575049029216176,0.006468113094421581,1.457606054802804e-06,0.00028049138786698805,0.049802803821409274,0.0002275127717275534,8.126706831531614,0.00028719223867148034
bc_plus_de_vjepa,action_mean_consistency_score,drawer-open-v3,brightness,0.0,0.0,60,266.358899728659,33.65888761989851,60,200.0,0.0,60,0.18998059138208975,0.00021979158030155363,60,0.7262786633744835,0.12021487273711555,60,0.00032141665082114436,0.0005465774509466823,60,0.007427341670502453,0.003787830169787225,60,-6.158828337331613,1.1286145565186807,60,0.006687529844833382,0.0006869794106309275,60,163.09985455210818,99.35803268763023,60,0.007908926566646794,0.003923558099254272,60,0.0,4.34534370679113,0.0,2.8374971004817577e-05,0.01551967333590975,7.056284549763339e-05,0.0004890067721949311,0.145703512722804,8.868866055203228e-05,12.827066863704134,0.0005065291725429675
bc_plus_de_vjepa,action_mean_consistency_score,drawer-open-v3,clean,1.0,0.0,60,373.3991954066208,37.407656042132544,60,93.06666666666666,7.032290334210667,60,0.027940015530677768,0.0013591427144397207,60,1.189437676134007,0.02563662254284191,60,0.0012981671983007326,0.0010280527666872408,60,0.002491942770137595,0.0007476125774870453,60,-8.249043389118688,0.5767346082420163,60,0.0029436588676356556,0.00025439877044517936,60,1.0645350418729915,0.2462260131279649,60,0.0010129341586635693,0.00030085944157191944,60,0.0,4.829307629061153,0.9078647783364434,0.00017546456993813937,0.003309673738714412,0.00013272104148007142,9.651636873408428e-05,0.07445611776342625,3.284274004099411e-05,0.03178764160825523,3.884078689191024e-05
