method,planner_score,planner_alpha,planning_horizon,task,visual_condition,success_mean,success_std,success_stderr,success_count,return_mean,return_std,return_stderr,return_count,episode_length_mean,episode_length_std,episode_length_stderr,episode_length_count,final_distance_to_goal_mean,final_distance_to_goal_std,final_distance_to_goal_stderr,final_distance_to_goal_count,mean_action_norm_mean,mean_action_norm_std,mean_action_norm_stderr,mean_action_norm_count,mean_action_deviation_from_bc_mean,mean_action_deviation_from_bc_std,mean_action_deviation_from_bc_stderr,mean_action_deviation_from_bc_count,mean_selected_planner_score_mean,mean_selected_planner_score_std,mean_selected_planner_score_stderr,mean_selected_planner_score_count,mean_predicted_value_mean,mean_predicted_value_std,mean_predicted_value_stderr,mean_predicted_value_count,mean_predicted_progress_selected_mean,mean_predicted_progress_selected_std,mean_predicted_progress_selected_stderr,mean_predicted_progress_selected_count,mean_predicted_progress_bc_action_mean,mean_predicted_progress_bc_action_std,mean_predicted_progress_bc_action_stderr,mean_predicted_progress_bc_action_count,mean_policy_entropy_mean,mean_policy_entropy_std,mean_policy_entropy_stderr,mean_policy_entropy_count,mean_prediction_latent_mse_mean,mean_prediction_latent_mse_std,mean_prediction_latent_mse_stderr,mean_prediction_latent_mse_count,mean_decision_kl_mean,mean_decision_kl_std,mean_decision_kl_stderr,mean_decision_kl_count,mean_action_mse_mean,mean_action_mse_std,mean_action_mse_stderr,mean_action_mse_count,success_ci_low,success_ci_high
bc_only,bc_only,0.0,0,reach-v3,clean,0.43333333333333335,0.5040069329937308,0.0920186554465537,30,795.6068371259977,493.3659945544461,90.07589477448036,30,134.8,75.99564415829688,13.874842859211634,30,0.11068502262381373,0.06439614410009821,0.011757073579992335,30,0.6304455860435929,0.09409388484049387,0.017179114416810626,30,0.0,0.0,0.0,30,,,,0,,,,0,,,,0,,,,0,-6.1594462349434425,0.8102331150726036,0.14792765132098135,30,,,,0,,,,0,,,,0,0.26666666666666666,0.6
bc_plus_vjepa_cem,cem_value,0.01,1,reach-v3,clean,0.13333333333333333,0.34574590364176044,0.06312427686319992,30,618.8328370994225,280.12069874844025,51.14280850954329,30,184.46666666666667,43.047474461009486,7.859357601974146,30,0.2313763825916274,0.10649429020567894,0.019443108330383943,30,0.5910376694499505,0.13843733156367485,0.02527508309941555,30,0.267083352142707,0.054943986149497775,0.010031353537777114,30,-0.6203058249895783,0.11651910841985386,0.021273381353981363,30,0.6211724800894939,0.11651072847799473,0.021271851392919087,30,0.6211724800894939,0.11651072847799473,0.021271851392919087,30,0.6189305589292213,0.11640916422512475,0.021253308382141404,30,-6.412392762984526,1.0012016588308097,0.18279357771774196,30,0.006527583620594422,0.0015914980277568229,0.0002905664566757983,30,7.133098085857226,4.675479701683933,0.8536218999232716,30,0.004169275319242803,0.0025977714039959695,0.00047428599907015285,30,0.03333333333333333,0.26666666666666666
bc_plus_de_vjepa_cem,cem_value,0.01,1,reach-v3,clean,0.1,0.30512857662936466,0.055708601453115555,30,701.410772059735,298.5254466757598,54.50304037787308,30,187.7,37.79814810278408,6.900966115938647,30,0.23782460771417638,0.11771084685762061,0.02149096202898497,30,0.5640947158606617,0.12826627617453867,0.023418110942660757,30,0.24145874646320678,0.051586330661970436,0.009418332320827205,30,-0.5981354089599811,0.15059439895522136,0.027494649780569053,30,0.598847648822234,0.15062857557264192,0.027500889548669208,30,0.598847648822234,0.15062857557264192,0.027500889548669208,30,0.5971547295942472,0.15047470859537637,0.02747279741056805,30,-6.252567609240011,0.6982886372762095,0.12748947942857425,30,0.00512779115367901,0.0010092689266624976,0.00018426645257402571,30,5.260482231524506,2.586415496258418,0.4722127034605514,30,0.00380117138649047,0.0017410768232627217,0.000317875683483476,30,0.0,0.23333333333333334
bc_plus_vjepa_cem,cem_value,0.1,1,reach-v3,clean,0.4,0.4982728791224399,0.09097176522946843,30,883.4461872035102,538.8532363079838,98.38069090351485,30,139.83333333333334,75.09124717501268,13.709723316316841,30,0.10764551785285478,0.06124815584210227,0.011182332186770411,30,0.6066012255747413,0.08319682342577363,0.015189592301023482,30,0.036699383498209275,0.014485154828902568,0.002644615349581607,30,-0.6528589882818324,0.14897466918948615,0.02719892893731714,30,0.6530812218562903,0.14885832975994637,0.0271776883606884,30,0.6530812218562903,0.14885832975994637,0.0271776883606884,30,0.6526435895979443,0.1490951664036219,0.027220928618083368,30,-6.131108819628226,0.7945742766753194,0.14506875164947447,30,0.006016851942776572,0.0022944439699540335,0.0004189062397585099,30,4.619608838506748,4.082707817669746,0.7453970558134696,30,0.0022464633336189794,0.0017980195225382781,0.00032827195044296114,30,0.23333333333333334,0.5666666666666667
bc_plus_de_vjepa_cem,cem_value,0.1,1,reach-v3,clean,0.5333333333333333,0.507416263404925,0.09264111117062017,30,709.8310716076626,450.067220518136,82.170656357145,30,121.63333333333334,74.9549213186503,13.684833734083215,30,0.10274737299087575,0.063951572659419,0.01167590631116481,30,0.5893032277593593,0.07971111823055174,0.014553192512944823,30,0.03437776171920588,0.011879799013018617,0.002168944632685968,30,-0.6282313991799208,0.14177513278345152,0.02588447943959553,30,0.628415306169606,0.14169777471945863,0.02587035585404425,30,0.628415306169606,0.14169777471945863,0.02587035585404425,30,0.6280570900707106,0.14185348629393776,0.025898784767979872,30,-6.358333139484666,0.7274699659919946,0.13281723676044385,30,0.0047948799288761,0.001940071414634951,0.0003542069589888403,30,3.503300460830958,3.601858630838564,0.6576064070183181,30,0.002024719871523213,0.002078210219638105,0.00037942753884451864,30,0.36666666666666664,0.7
bc_plus_vjepa_cem,cem_value,0.01,3,reach-v3,clean,0.03333333333333333,0.18257418583505533,0.033333333333333326,30,470.43372210845394,252.91759729737853,46.176224409927286,30,196.36666666666667,19.900586256021036,3.6333333333333333,30,0.32552050325651394,0.1372666017291643,0.025061338053046976,30,0.8283957870385094,0.10022162732790242,0.01829788201245612,30,0.42730868942583233,0.02878208082007265,0.005254864972363527,30,-1.7097876730981136,0.33254122378720347,0.06071344318954162,30,1.7113148371495934,0.3324998577131296,0.060705890812246394,30,1.7113148371495934,0.3324998577131296,0.060705890812246394,30,0.5818360943335175,0.11928676980842903,0.021778684878667593,30,-6.160575477887204,1.149379980168552,0.20984711409438547,30,0.007131600297506227,0.0015573783464327767,0.000284337083637109,30,8.272820681793354,7.205644508613353,1.3155646795769205,30,0.004735540816556844,0.0034340237983834713,0.0006269640991280666,30,0.0,0.1
bc_plus_de_vjepa_cem,cem_value,0.01,3,reach-v3,clean,0.06666666666666667,0.2537081317024625,0.046320555585310084,30,480.1148756799321,228.439587532086,41.70717170616646,30,191.0,34.26670244642347,6.256215300407866,30,0.33275595622766063,0.15615415846513256,0.028509718346529798,30,0.8442013074854685,0.09606303747808659,0.01753863085640407,30,0.44322323139706427,0.025647998652443063,0.004682662472268389,30,-1.4159989047059003,0.40366415307202713,0.07369865409792252,30,1.4175033865387314,0.40368403226032623,0.07370228352454129,30,1.4175033865387314,0.40368403226032623,0.07370228352454129,30,0.4846456894989331,0.1400439882549283,0.025568417136737593,30,-5.9400143047859055,0.8150953609623988,0.14881537190564054,30,0.00543485632297709,0.001115556957238527,0.00020367190322045573,30,6.688025134759177,4.999598374799418,0.9127976027812698,30,0.004009357906734754,0.0025921678888426703,0.0004732629418532248,30,0.0,0.16666666666666666
bc_plus_vjepa_cem,cem_value,0.1,3,reach-v3,clean,0.2,0.4068381021724863,0.07427813527082075,30,1005.1241576701525,498.2178697827889,90.96172194406832,30,178.63333333333333,51.509278262527005,9.404264541732184,30,0.14670956329653423,0.09039063267708955,0.016502996168135175,30,0.5597743189355152,0.1388959107864122,0.02535880782764769,30,0.1704972726023479,0.04902339816924468,0.008950407007617591,30,-1.979647254583319,0.3116252189456173,0.05689472063466695,30,1.9824788189770166,0.31095844648823184,0.05677298519612256,30,1.9824788189770166,0.31095844648823184,0.05677298519612256,30,0.6823320159651952,0.11293657199058464,0.02061930268218311,30,-6.289233110832247,1.0373469216160458,0.18939276964255056,30,0.005891332709575872,0.0018661838545178653,0.0003407169978571247,30,4.748003806546715,3.4464451301176084,0.6292319136564138,30,0.0030359592504703298,0.0020502061429723533,0.00037431471734720653,30,0.06666666666666667,0.36666666666666664
bc_plus_de_vjepa_cem,cem_value,0.1,3,reach-v3,clean,0.1,0.30512857662936466,0.055708601453115555,30,1004.8590499304705,429.59738318123897,78.43339247118502,30,185.76666666666668,43.637759142610726,7.967128347128397,30,0.15652729977585475,0.06069283029409624,0.011080944076969804,30,0.5142012434856085,0.11817422264131214,0.02157556248542813,30,0.1577541223795043,0.03539784051888379,0.0064627319130543415,30,-1.9944604534025918,0.34035004172110106,0.06213913176615715,30,1.9967742075508008,0.3401693030057262,0.06210613354234871,30,1.9967742075508008,0.3401693030057262,0.06210613354234871,30,0.6881040828558936,0.11507722431786326,0.02101013053799192,30,-6.223540906182894,1.0957855833579802,0.20006216073137442,30,0.005605292340460302,0.0017325143557060058,0.0003163123979405695,30,4.589335175034853,2.7505865822980233,0.5021861058318892,30,0.003352852518265677,0.0021063897351746436,0.0003845723909508284,30,0.0,0.23333333333333334
bc_plus_vjepa_cem,cem_value,0.01,5,reach-v3,clean,0.03333333333333333,0.18257418583505536,0.03333333333333333,30,536.5303532782793,236.8459678497449,43.24195974848288,30,195.6,24.09979253022731,4.4,30,0.30266035310852357,0.13097631690719708,0.023912894423005704,30,0.8139629311441791,0.07776307321947683,0.01419752978107778,30,0.4008920706472925,0.03001093541844303,0.005479222100170663,30,-2.8078133222484123,0.527518952976213,0.09631134335219295,30,2.809143563341422,0.5274790327952638,0.09630405495765774,30,2.809143563341422,0.5274790327952638,0.09630405495765774,30,0.5920685357059188,0.12292284884793568,0.02244253904893743,30,-6.642184630332624,0.8874026651581753,0.1620168190991121,30,0.0062803580092828295,0.0015749617303122126,0.00028754735563312227,30,5.918166424250816,4.673243079196023,0.8532135503935211,30,0.003594574267892747,0.0024550357486813673,0.00044822615301145624,30,0.0,0.1
