method,planner_score,planner_alpha,planning_horizon,task,visual_condition,success_mean,success_std,success_count,return_mean,return_std,return_count,episode_length_mean,episode_length_std,episode_length_count,final_distance_to_goal_mean,final_distance_to_goal_std,final_distance_to_goal_count,mean_action_norm_mean,mean_action_norm_std,mean_action_norm_count,mean_action_deviation_from_bc_mean,mean_action_deviation_from_bc_std,mean_action_deviation_from_bc_count,mean_selected_planner_score_mean,mean_selected_planner_score_std,mean_selected_planner_score_count,mean_predicted_value_mean,mean_predicted_value_std,mean_predicted_value_count,mean_policy_entropy_mean,mean_policy_entropy_std,mean_policy_entropy_count,mean_prediction_latent_mse_mean,mean_prediction_latent_mse_std,mean_prediction_latent_mse_count,mean_decision_kl_mean,mean_decision_kl_std,mean_decision_kl_count,mean_action_mse_mean,mean_action_mse_std,mean_action_mse_count,success_stderr,return_stderr,episode_length_stderr,final_distance_to_goal_stderr,mean_action_norm_stderr,mean_action_deviation_from_bc_stderr,mean_selected_planner_score_stderr,mean_predicted_value_stderr,mean_policy_entropy_stderr,mean_prediction_latent_mse_stderr,mean_decision_kl_stderr,mean_action_mse_stderr
bc_only,bc_only,0.0,0,reach-v3,clean,0.0,0.0,5,942.3897257674369,434.5723515630231,5,200.0,0.0,5,0.18560923708944327,0.08310710033385249,5,0.5773666332811117,0.055694949061368876,5,0.0,0.0,5,,,0,,,0,-4.791457605361939,0.3377361388415287,5,,,0,,,0,,,0,0.0,194.34666384737133,0.0,0.03716662515187793,0.02490753842092178,0.0,,,0.15104019298159305,,,
bc_plus_de_vjepa_value_planner,value_score,0.1,1,reach-v3,clean,0.0,0.0,5,929.4479521799509,443.0877096901063,5,200.0,0.0,5,0.18334353561544428,0.07947203581916683,5,0.5820396198332309,0.05283326513117674,5,0.005559206883423031,0.0009200895388574256,5,-0.6612688263505697,0.022806076069743247,5,0.6613062824159861,0.022804301930695728,5,-4.75235373723507,0.3160790644789897,5,0.007278110141982324,0.0006407429848314114,5,11.428380780849606,5.949068341352827,5,0.004991399055755437,0.001986853922720622,5,0.0,198.15484777235397,0.0,0.03554097488039104,0.023627754461316104,0.00041147655085432757,0.010199187278395427,0.010198393859293069,0.14135485488791202,0.0002865489740378305,2.6605042428113688,0.0008885480865130849
bc_plus_vjepa_value_planner,value_score,0.1,1,reach-v3,clean,0.2,0.4472135954999579,5,704.7006610908754,270.93883792693043,5,169.8,67.52925292049365,5,0.1765558391968219,0.09277067474690112,5,0.5746583426678363,0.0433334707055514,5,0.00882195082021763,0.004958668455791513,5,-0.6398352671933113,0.05487795220195287,5,0.6398987015798993,0.05484474383584486,5,-5.392019375302354,1.2117103930595288,5,0.006715078327279747,0.002285167336196926,5,7.632291945913806,5.681773677767938,5,0.0035646970965500465,0.0021430238900435874,5,0.19999999999999998,121.16753186988292,30.2,0.041488307010518796,0.01937931723972174,0.002217583949006747,0.024542166317910178,0.024527315085102332,0.5418933615848192,0.0010219579007396883,2.5409664352516192,0.0009583894191086992
