method,planner_score,planner_alpha,planning_horizon,task,visual_condition,success_mean,success_std,success_count,return_mean,return_std,return_count,episode_length_mean,episode_length_std,episode_length_count,final_distance_to_goal_mean,final_distance_to_goal_std,final_distance_to_goal_count,mean_action_norm_mean,mean_action_norm_std,mean_action_norm_count,mean_action_deviation_from_bc_mean,mean_action_deviation_from_bc_std,mean_action_deviation_from_bc_count,mean_selected_planner_score_mean,mean_selected_planner_score_std,mean_selected_planner_score_count,mean_predicted_value_mean,mean_predicted_value_std,mean_predicted_value_count,mean_predicted_progress_selected_mean,mean_predicted_progress_selected_std,mean_predicted_progress_selected_count,mean_predicted_progress_bc_action_mean,mean_predicted_progress_bc_action_std,mean_predicted_progress_bc_action_count,mean_policy_entropy_mean,mean_policy_entropy_std,mean_policy_entropy_count,mean_prediction_latent_mse_mean,mean_prediction_latent_mse_std,mean_prediction_latent_mse_count,mean_decision_kl_mean,mean_decision_kl_std,mean_decision_kl_count,mean_action_mse_mean,mean_action_mse_std,mean_action_mse_count,success_stderr,return_stderr,episode_length_stderr,final_distance_to_goal_stderr,mean_action_norm_stderr,mean_action_deviation_from_bc_stderr,mean_selected_planner_score_stderr,mean_predicted_value_stderr,mean_predicted_progress_selected_stderr,mean_predicted_progress_bc_action_stderr,mean_policy_entropy_stderr,mean_prediction_latent_mse_stderr,mean_decision_kl_stderr,mean_action_mse_stderr
bc_only,bc_only,0.0,0,button-press-v3,background_shift,0.75,0.4366668823046865,60,51.48558942063605,28.17456053599694,60,106.91666666666667,54.26716448500822,60,0.02203589614105812,0.01001929992135568,60,0.773541901043482,0.02821887972270376,60,0.0,0.0,60,,,0,,,0,,,0,,,0,-0.9759128343393171,0.5168358592047253,60,,,0,,,0,,,0,0.05637345210021216,3.6373201247542952,7.005860809877848,0.0012934860578689277,0.003643041707155394,0.0,,,,,0.06672322251409007,,,
bc_only,bc_only,0.0,0,button-press-v3,brightness,0.4,0.49403218175557095,60,63.018457963233296,23.338917952998173,60,158.61666666666667,51.14820329752523,60,0.053288735817012385,0.03576495424331728,60,0.7832790368653265,0.03294584203090279,60,0.0,0.0,60,,,0,,,0,,,0,,,0,-2.426553727116601,0.5359740831956145,60,,,0,,,0,,,0,0.06377928041432807,3.0130413516821073,6.6032046519915495,0.00461723573874127,0.004253289917082228,0.0,,,,,0.06919395660718011,,,
bc_only,bc_only,0.0,0,button-press-v3,clean,0.95,0.21978417765108285,60,61.830306794512495,29.369615081416416,60,76.61666666666666,28.944184549042642,60,0.01968278728388651,0.0012833348624710491,60,0.8538666910039634,0.04164026565289059,60,0.0,0.0,60,,,0,,,0,,,0,,,0,-2.731547003245439,0.5882767350715327,60,,,0,,,0,,,0,0.02837401532675121,3.791601003161599,3.7366781575998727,0.0001656778183319253,0.005375735180176599,0.0,,,,,0.07594619992977729,,,
bc_only,bc_only,0.0,0,drawer-open-v3,background_shift,0.0,0.0,60,637.9405310387859,283.7283017621984,60,200.0,0.0,60,0.15780630418415573,0.04545027881650741,60,0.3563091879238685,0.050343361681268135,60,0.0,0.0,60,,,0,,,0,,,0,,,0,-1.9697537530958653,0.3865502504638217,60,,,0,,,0,,,0,0.0,36.62916625242356,0.0,0.005867605764560564,0.0064993000461216035,0.0,,,,,0.04990342275062291,,,
bc_only,bc_only,0.0,0,drawer-open-v3,brightness,0.0,0.0,60,265.28125597737693,31.113370159658853,60,200.0,0.0,60,0.18999300143362227,0.00011137067147594664,60,0.7314463530605038,0.11326981756322596,60,0.0,0.0,60,,,0,,,0,,,0,,,0,-6.155859801411628,1.0627571929965194,60,,,0,,,0,,,0,0.0,4.016718815758185,0.0,1.4377891862742624e-05,0.014623070568344217,0.0,,,,,0.13720136365125538,,,
bc_only,bc_only,0.0,0,drawer-open-v3,clean,1.0,0.0,60,371.77738256953756,40.588389263886434,60,92.51666666666667,7.153265620648239,60,0.02757162548864831,0.0012330128813572059,60,1.1901286664643433,0.024731536317291757,60,0.0,0.0,60,,,0,,,0,,,0,,,0,-8.349722279390551,0.5505037590880457,60,,,0,,,0,,,0,0.0,5.239938522280536,0.9234826206589564,0.00015918127850518934,0.003192827609433163,0.0,,,,,0.07106972969908604,,,
bc_only,bc_only,0.0,0,reach-v3,background_shift,0.16666666666666666,0.37582301400141443,60,702.4175077852279,309.30718861641344,60,174.25,58.199721881798055,60,0.23297925968446512,0.09182657611913636,60,0.6646801493360996,0.04878884654848038,60,0.0,0.0,60,,,0,,,0,,,0,,,0,-2.9388194371273664,0.2228213549993513,60,,,0,,,0,,,0,0.048518542478298496,39.93138634578685,7.513551786736908,0.011854760001622094,0.006298613005431124,0.0,,,,,0.028766113236395278,,,
bc_only,bc_only,0.0,0,reach-v3,brightness,0.0,0.0,60,766.3734025155437,351.80086824867027,60,200.0,0.0,60,0.23492447947085046,0.059963045265624584,60,0.8923807135572036,0.06340500411762498,60,0.0,0.0,60,,,0,,,0,,,0,,,0,-4.7152387712001795,0.38800860151740646,60,,,0,,,0,,,0,0.0,45.417296796946985,0.0,0.007741195856721517,0.008185550833792474,0.0,,,,,0.0500916950620715,,,
bc_only,bc_only,0.0,0,reach-v3,clean,0.43333333333333335,0.4997174342809082,60,750.1642100942728,474.98695166939643,60,133.9,76.46328464240263,60,0.12326768518201929,0.07725692895461607,60,0.6136449071761821,0.08281736703965857,60,0.0,0.0,60,,,0,,,0,,,0,,,0,-6.226228050367404,0.726587046427817,60,,,0,,,0,,,0,0.06451324335931523,61.320551782713316,9.871367600544756,0.009973826640678586,0.01069167611071149,0.0,,,,,0.09380198434616568,,,
bc_plus_de_vjepa_value_planner,value_score,0.0,1,button-press-v3,background_shift,0.7166666666666667,0.4544196025054849,60,63.53177715556664,31.015013869496414,60,108.58333333333333,58.23514334921787,60,0.029929702393703284,0.026109574165075342,60,0.765523630533197,0.11282720444119769,60,0.1602001781917714,0.003911735066255731,60,-0.5407838542591767,0.06800806446829018,60,0.5407838542591767,0.06800806446829018,60,0.5407838542591767,0.06800806446829018,60,0.5406663842256406,0.06799331144536618,60,-1.0721691612299165,0.5046270846825064,60,0.010704559083044012,0.00199803337643527,60,3.5694577122945,1.0418866924103711,60,0.001190626389427566,0.0002802666296787334,60,0.05866531842313124,4.0040210732983885,7.518124678517414,0.0033707315305968075,0.014565929459996605,0.0005050028255461338,0.008779803369782941,0.008779803369782941,0.008779803369782941,0.008777898762713244,0.06514707650068491,0.00025794499973667915,0.13450699361134988,3.618226630811386e-05
