method,lambda,reference_policy_type,bjepa_prior_type,bjepa_loss_type,shift,metric,pairs,mean,std,stderr,baseline_mean,relative_change_percent,paired_t,paired_t_p,wilcoxon_w,wilcoxon_p
action_mse,0.1,strong_bc,none,nll,blur,latent_mse,6,0.21962488356583873,0.023612557361693993,0.009639786176391477,0.283264537658031,-22.466509439674642,-9.292413888188781,0.00024278888984391494,0.0,0.03125
action_mse,0.1,strong_bc,none,nll,blur,decision_kl,6,11.931142907269184,3.7883079376448516,1.5465702392941933,12.36022743667487,-3.471493802229893,-0.7689827211743981,0.47663773963762274,8.0,0.6875
action_mse,0.1,strong_bc,none,nll,blur,action_mse,6,0.08689019528685478,0.011161597531112026,0.004556703110922159,0.09892488003059317,-12.165478229558213,-7.437364192989825,0.0006927280628064809,0.0,0.03125
action_mse,0.1,strong_bc,none,nll,blur,nll,6,,,,,,,,,
action_mse,0.1,strong_bc,none,nll,blur,uncertainty,6,,,,,,,,,
action_mse,0.1,strong_bc,none,nll,brightness,latent_mse,6,0.08979102129677873,0.0008087705588819139,0.00033017919804104444,0.12534608502761713,-28.36551594172619,-59.50613351432485,2.5361913127149738e-08,0.0,0.03125
action_mse,0.1,strong_bc,none,nll,brightness,decision_kl,6,13.252009189502553,3.145236895709697,1.2840375857773512,14.800069838279514,-10.459819890666951,-2.784316066750429,0.03870401752648053,1.0,0.0625
action_mse,0.1,strong_bc,none,nll,brightness,action_mse,6,0.04979886727075666,0.00549454070993118,0.0022431368517135046,0.06462228602904056,-22.938555209301047,-6.774699497477455,0.0010652771696192465,0.0,0.03125
action_mse,0.1,strong_bc,none,nll,brightness,nll,6,,,,,,,,,
action_mse,0.1,strong_bc,none,nll,brightness,uncertainty,6,,,,,,,,,
action_mse,0.1,strong_bc,none,nll,clean,latent_mse,6,0.024776437980162852,0.00041769859244735315,0.00017052473629579378,0.027129893054663175,-8.674767238331608,-29.251595166398815,8.752523798154494e-07,0.0,0.03125
action_mse,0.1,strong_bc,none,nll,clean,decision_kl,6,2.873690950838723,0.10613705174378944,0.04333026992927661,1.647058173726034,74.47416227793319,31.035594260169415,6.519056430436184e-07,0.0,0.03125
action_mse,0.1,strong_bc,none,nll,clean,action_mse,6,0.0060160882168943915,0.0002437890846634972,9.95264770476227e-05,0.004408191715057003,36.475194496312795,23.372043256198644,2.668945172232483e-06,0.0,0.03125
action_mse,0.1,strong_bc,none,nll,clean,nll,6,,,,,,,,,
action_mse,0.1,strong_bc,none,nll,clean,uncertainty,6,,,,,,,,,
action_mse,0.1,strong_bc,none,nll,desaturation,latent_mse,6,0.08552135089298248,0.0023163092499031987,0.0009456292914586138,0.12343264818891042,-30.714156952952756,-84.72514815583895,4.3410438707783896e-09,0.0,0.03125
action_mse,0.1,strong_bc,none,nll,desaturation,decision_kl,6,6.0766713167057285,0.1944546626286586,0.07938578359087711,6.957377507300351,-12.658594271627505,-2.7694263277742963,0.03939207971485339,0.0,0.03125
action_mse,0.1,strong_bc,none,nll,desaturation,action_mse,6,0.025625167015315576,0.001329046201566085,0.0005425808397368449,0.03659972703136765,-29.985360291475324,-12.903320529325045,4.980205930129894e-05,0.0,0.03125
action_mse,0.1,strong_bc,none,nll,desaturation,nll,6,,,,,,,,,
action_mse,0.1,strong_bc,none,nll,desaturation,uncertainty,6,,,,,,,,,
bjepa,0.0,none,empirical_task_gaussian,nll,blur,latent_mse,6,0.18336008568271867,0.009059615200360555,0.0036985724178076247,0.283264537658031,-35.26895840944313,-26.28332033555058,1.4900143263228208e-06,0.0,0.03125
bjepa,0.0,none,empirical_task_gaussian,nll,blur,decision_kl,6,14.545005741571266,2.9579723396166036,1.2075871508878717,12.36022743667487,17.675874623583315,2.8441316164036117,0.03607112981469679,1.0,0.0625
bjepa,0.0,none,empirical_task_gaussian,nll,blur,action_mse,6,0.0771147496638901,0.006888069289168039,0.002812042511899488,0.09892488003059317,-22.047163827702537,-7.815915266551315,0.0005496661775578177,0.0,0.03125
bjepa,0.0,none,empirical_task_gaussian,nll,blur,nll,6,6.233460878078586,1.2694420316555821,0.5182475392663646,,,,,,
bjepa,0.0,none,empirical_task_gaussian,nll,blur,uncertainty,6,0.20658659119397318,0.026900969694978797,0.010982274889795281,,,,,,
bjepa,0.0,none,empirical_task_gaussian,nll,brightness,latent_mse,6,0.07223277630795621,0.0017163849275957156,0.0007007112124688922,0.12534608502761713,-42.37332877844459,-40.22040620192487,1.791428420071222e-07,0.0,0.03125
bjepa,0.0,none,empirical_task_gaussian,nll,brightness,decision_kl,6,19.30540754742373,5.123322842272445,2.0915877918521852,14.800069838279514,30.441327361114364,3.533020992770766,0.016686008934857326,0.0,0.03125
bjepa,0.0,none,empirical_task_gaussian,nll,brightness,action_mse,6,0.051713563019910924,0.004146027921764277,0.0016926088112757091,0.06462228602904056,-19.975652058066466,-10.810599257568029,0.0001175011376811247,0.0,0.03125
bjepa,0.0,none,empirical_task_gaussian,nll,brightness,nll,6,2.688426382228036,0.37650619693068876,0.15370801124600425,,,,,,
bjepa,0.0,none,empirical_task_gaussian,nll,brightness,uncertainty,6,0.22317630191792015,0.024890012633994454,0.010161305107452188,,,,,,
bjepa,0.0,none,empirical_task_gaussian,nll,clean,latent_mse,6,0.021375481840833797,0.00038658558321648265,0.0001578229034661045,0.027129893054663175,-21.210593061443316,-67.77568092010648,1.324103612164037e-08,0.0,0.03125
bjepa,0.0,none,empirical_task_gaussian,nll,clean,decision_kl,6,3.2508264368081794,0.13916975354768998,0.05681581397012157,1.647058173726034,97.37168295968829,28.15307361992167,1.0588193174059092e-06,0.0,0.03125
bjepa,0.0,none,empirical_task_gaussian,nll,clean,action_mse,6,0.006109969832739829,0.0002848008368665531,0.00011626945477344784,0.004408191715057003,38.60490259237331,31.613641482812366,5.946845252279974e-07,0.0,0.03125
bjepa,0.0,none,empirical_task_gaussian,nll,clean,nll,6,0.761108935058911,0.038522555867126815,0.01572676757705318,,,,,,
bjepa,0.0,none,empirical_task_gaussian,nll,clean,uncertainty,6,0.18272897028084403,0.00506821310155869,0.002069089334417888,,,,,,
bjepa,0.0,none,empirical_task_gaussian,nll,desaturation,latent_mse,6,0.0790010293927061,0.0009966797648925862,0.0004068928101573233,0.12343264818891042,-35.99665035801783,-232.79451606321962,2.7755833667309003e-11,0.0,0.03125
bjepa,0.0,none,empirical_task_gaussian,nll,desaturation,decision_kl,6,7.255552881315663,0.7108567420588509,0.2902060497102371,6.957377507300351,4.285743783522417,2.6103181282452974,0.047651475849767824,0.0,0.03125
bjepa,0.0,none,empirical_task_gaussian,nll,desaturation,action_mse,6,0.029196468737330852,0.002348659656378539,0.0009588362895979827,0.03659972703136765,-20.227632538602993,-19.2603921246183,6.95850447614213e-06,0.0,0.03125
bjepa,0.0,none,empirical_task_gaussian,nll,desaturation,nll,6,3.271262742489832,0.19420286894043273,0.07928298924810931,,,,,,
bjepa,0.0,none,empirical_task_gaussian,nll,desaturation,uncertainty,6,0.1761807149751471,0.008397872018808289,0.003428416895212794,,,,,,
cosine_jepa,0.0,none,none,nll,blur,latent_mse,6,0.29183221452343616,0.01459271817221507,0.005957452247027751,0.283264537658031,3.0246203553190356,2.672984541128157,0.044190081587883574,0.0,0.03125
cosine_jepa,0.0,none,none,nll,blur,decision_kl,6,11.12781257988968,4.063172062192601,1.6587830482506585,12.36022743667487,-9.970810513796929,-2.8791894164099907,0.03462084570089098,1.0,0.0625
cosine_jepa,0.0,none,none,nll,blur,action_mse,6,0.08712573943017728,0.01371017424083309,0.0055971551957818,0.09892488003059317,-11.92737418207324,-6.143693008015732,0.0016601833708057142,0.0,0.03125
cosine_jepa,0.0,none,none,nll,blur,nll,6,,,,,,,,,
cosine_jepa,0.0,none,none,nll,blur,uncertainty,6,,,,,,,,,
cosine_jepa,0.0,none,none,nll,brightness,latent_mse,6,0.15093779457925516,0.008764059872585753,0.003577912460506075,0.12534608502761713,20.41683994039342,7.057758095461007,0.0008827060193575921,0.0,0.03125
cosine_jepa,0.0,none,none,nll,brightness,decision_kl,6,11.506932427881415,1.7670630303332482,0.721400461275442,14.800069838279514,-22.250823451390698,-6.910556193035707,0.0009725804404123288,0.0,0.03125
cosine_jepa,0.0,none,none,nll,brightness,action_mse,6,0.04875056712192339,0.002788234429583418,0.0011382919392899148,0.06462228602904056,-24.56075122440669,-6.57176556677483,0.001223959682995281,0.0,0.03125
