method,task,shift,success_rate_mean,success_rate_std,success_rate_count,average_return_mean,average_return_std,average_return_count,episode_length_mean,episode_length_std,episode_length_count,failure_rate_mean,failure_rate_std,failure_rate_count,success_rate_stderr,average_return_stderr,episode_length_stderr,failure_rate_stderr
bc_only,button-press-v3,brightness,0.4,0.5477225575051661,5,67.14916698954248,26.515157195451337,5,158.4,56.96314598053728,5,0.6,0.5477225575051661,5,0.24494897427831777,11.857938784624373,25.47469332494505,0.24494897427831777
bc_only,button-press-v3,clean,1.0,0.0,5,55.004526958157975,6.905373905487566,5,70.4,4.393176527297759,5,0.0,0.0,5,0.0,3.0881770925446808,1.9646882704388497,0.0
bc_only,button-press-v3,desaturation,0.2,0.4472135954999579,5,81.70589033681154,20.880320218929825,5,182.2,39.802009999496256,5,0.8,0.4472135954999579,5,0.19999999999999998,9.337963080298076,17.8,0.19999999999999998
bc_only,drawer-open-v3,brightness,0.0,0.0,5,247.9566607424922,32.35568428132881,5,200.0,0.0,5,1.0,0.0,5,0.0,14.46990190231453,0.0,0.0
bc_only,drawer-open-v3,clean,1.0,0.0,5,387.6134364186953,44.03728457816721,5,96.2,8.136338242723197,5,0.0,0.0,5,0.0,19.694072372257004,3.63868107973205,0.0
bc_only,drawer-open-v3,desaturation,0.0,0.0,5,348.86519827850856,63.73754665620741,5,200.0,0.0,5,1.0,0.0,5,0.0,28.504297408468833,0.0,0.0
bc_only,reach-v3,brightness,0.0,0.0,5,622.0825242417761,259.4248686811032,5,200.0,0.0,5,1.0,0.0,5,0.0,116.01832828498058,0.0,0.0
bc_only,reach-v3,clean,0.2,0.4472135954999579,5,1049.276674714578,480.12687861674186,5,170.0,67.08203932499369,5,0.8,0.4472135954999579,5,0.19999999999999998,214.719267682365,29.999999999999996,0.19999999999999998
bc_only,reach-v3,desaturation,0.4,0.5477225575051662,5,633.1650394230595,416.2859164912889,5,136.2,87.3681864296152,5,0.6,0.5477225575051662,5,0.24494897427831783,186.16872147006453,39.07224078549885,0.24494897427831783
de_vjepa,button-press-v3,brightness,0.2,0.4140393356054125,15,72.00579932406417,18.430607143123353,15,178.53333333333333,44.44075778360392,15,0.8,0.4140393356054125,15,0.10690449676496974,4.758762301720547,11.474554319249041,0.10690449676496974
de_vjepa,button-press-v3,clean,1.0,0.0,15,58.954209025799855,0.9430184451704774,15,72.6,1.9198214202665547,15,0.0,0.0,15,0.0,0.2434863155541114,0.4956957592256424,0.0
de_vjepa,button-press-v3,desaturation,0.3333333333333333,0.4879500364742666,15,74.12208189796941,23.958264139693327,15,166.8,49.83716341389081,15,0.6666666666666666,0.4879500364742666,15,0.12598815766974242,6.185997201138041,12.867900261614446,0.12598815766974242
de_vjepa,drawer-open-v3,brightness,0.0,0.0,15,242.44755936088603,29.55764127685502,15,200.0,0.0,15,1.0,0.0,15,0.0,7.631750161228828,0.0,0.0
de_vjepa,drawer-open-v3,clean,1.0,0.0,15,371.2491623881095,39.647260058146315,15,95.66666666666667,8.549575316659775,15,0.0,0.0,15,0.0,10.236878528530346,2.2074908545712875,0.0
de_vjepa,drawer-open-v3,desaturation,0.0,0.0,15,344.67544106381496,63.46979308739093,15,200.0,0.0,15,1.0,0.0,15,0.0,16.38783010764638,0.0,0.0
de_vjepa,reach-v3,brightness,0.0,0.0,15,495.66342004671145,208.33107791384384,15,200.0,0.0,15,1.0,0.0,15,0.0,53.7908530171838,0.0,0.0
de_vjepa,reach-v3,clean,0.2,0.4140393356054125,15,1075.0787515926324,439.95956023994887,15,169.93333333333334,62.24429597121636,15,0.8,0.4140393356054125,15,0.10690449676496974,113.59706998760404,16.071408112861757,0.10690449676496974
de_vjepa,reach-v3,desaturation,0.2,0.41403933560541256,15,749.8909760081043,342.36573481099987,15,168.06666666666666,66.11836428132577,15,0.8,0.4140393356054125,15,0.10690449676496976,88.39845261567116,17.071688249336667,0.10690449676496974
vjepa,button-press-v3,brightness,0.13333333333333333,0.35186577527449836,15,67.56672198606768,14.684741945474068,15,185.8,37.474181588318714,15,0.8666666666666667,0.35186577527449836,15,0.09085135251589957,3.791584066544971,9.6757920802874,0.09085135251589957
vjepa,button-press-v3,clean,1.0,0.0,15,57.314159430161226,3.9388037431413085,15,71.0,2.171240593367241,15,0.0,0.0,15,0.0,1.0169947534110482,0.560611910581389,0.0
vjepa,button-press-v3,desaturation,0.3333333333333333,0.4879500364742666,15,74.17827084018502,22.386795809991725,15,168.33333333333334,46.79234776674291,15,0.6666666666666666,0.4879500364742666,15,0.12598815766974242,5.780245823136262,12.081732242036072,0.12598815766974242
vjepa,drawer-open-v3,brightness,0.0,0.0,15,231.80806849197558,37.06329171585554,15,200.0,0.0,15,1.0,0.0,15,0.0,9.569700771409055,0.0,0.0
vjepa,drawer-open-v3,clean,1.0,0.0,15,375.08790429987556,40.153916125428786,15,96.33333333333333,8.640987597877146,15,0.0,0.0,15,0.0,10.367696562586342,2.231093404090868,0.0
vjepa,drawer-open-v3,desaturation,0.0,0.0,15,347.59683441780055,75.0394123612898,15,200.0,0.0,15,1.0,0.0,15,0.0,19.375092958964427,0.0,0.0
vjepa,reach-v3,brightness,0.0,0.0,15,465.60605125581264,193.47503638292312,15,200.0,0.0,15,1.0,0.0,15,0.0,49.95503958786235,0.0,0.0
vjepa,reach-v3,clean,0.2,0.4140393356054125,15,1068.6687124037226,428.33820628931346,15,169.86666666666667,62.38230823681007,15,0.8,0.4140393356054125,15,0.10690449676496974,110.5964493001912,16.107042726609542,0.10690449676496974
vjepa,reach-v3,desaturation,0.2,0.41403933560541256,15,735.430968344422,335.98607005907166,15,168.0,66.24952830020754,15,0.8,0.4140393356054125,15,0.10690449676496976,86.7512302597642,17.10555465338672,0.10690449676496974
