method,lambda,reference_policy_type,bjepa_prior_type,bjepa_loss_type,shift,metric,pairs,mean,std,stderr,baseline_mean,relative_change_percent,paired_t,paired_t_p,wilcoxon_w,wilcoxon_p
random_policy_kl,0.01,random,none,nll,clean,action_mse,1,0.00042860762373898,0.0,0.0,0.0004301303161404621,-0.35400722626229103,,,,
random_policy_kl,0.01,random,none,nll,clean,nll,1,,0.0,0.0,,,,,,
random_policy_kl,0.01,random,none,nll,clean,uncertainty,1,,0.0,0.0,,,,,,
vjepa,0.0,none,none,nll,clean,latent_mse,1,0.027824213034305604,0.0,0.0,0.027734423191114202,0.32374873121633774,,,,
vjepa,0.0,none,none,nll,clean,decision_kl,1,5.800580763727417e-05,0.0,0.0,5.82115480777936e-05,-0.35343578261221115,,,,
vjepa,0.0,none,none,nll,clean,action_mse,1,0.00042860840003543964,0.0,0.0,0.0004301303161404621,-0.3538267468981325,,,,
vjepa,0.0,none,none,nll,clean,nll,1,,0.0,0.0,,,,,,
vjepa,0.0,none,none,nll,clean,uncertainty,1,,0.0,0.0,,,,,,
weak_policy_kl,0.01,weak_bc,none,nll,clean,latent_mse,1,0.027824213097452203,0.0,0.0,0.027734423191114202,0.3237489588994542,,,,
weak_policy_kl,0.01,weak_bc,none,nll,clean,decision_kl,1,5.800583097046847e-05,0.0,0.0,5.82115480777936e-05,-0.35339569916644376,,,,
weak_policy_kl,0.01,weak_bc,none,nll,clean,action_mse,1,0.00042860820528053815,0.0,0.0,0.0004301303161404621,-0.35387202501366816,,,,
weak_policy_kl,0.01,weak_bc,none,nll,clean,nll,1,,0.0,0.0,,,,,,
weak_policy_kl,0.01,weak_bc,none,nll,clean,uncertainty,1,,0.0,0.0,,,,,,
