method,planner_score,planner_alpha,planning_horizon,task,visual_condition,success_mean,success_std,success_stderr,success_count,return_mean,return_std,return_stderr,return_count,episode_length_mean,episode_length_std,episode_length_stderr,episode_length_count,final_distance_to_goal_mean,final_distance_to_goal_std,final_distance_to_goal_stderr,final_distance_to_goal_count,mean_action_norm_mean,mean_action_norm_std,mean_action_norm_stderr,mean_action_norm_count,mean_action_deviation_from_bc_mean,mean_action_deviation_from_bc_std,mean_action_deviation_from_bc_stderr,mean_action_deviation_from_bc_count,mean_selected_planner_score_mean,mean_selected_planner_score_std,mean_selected_planner_score_stderr,mean_selected_planner_score_count,mean_predicted_value_mean,mean_predicted_value_std,mean_predicted_value_stderr,mean_predicted_value_count,mean_policy_entropy_mean,mean_policy_entropy_std,mean_policy_entropy_stderr,mean_policy_entropy_count,mean_prediction_latent_mse_mean,mean_prediction_latent_mse_std,mean_prediction_latent_mse_stderr,mean_prediction_latent_mse_count,mean_decision_kl_mean,mean_decision_kl_std,mean_decision_kl_stderr,mean_decision_kl_count,mean_action_mse_mean,mean_action_mse_std,mean_action_mse_stderr,mean_action_mse_count,success_ci_low,success_ci_high
bc_only,bc_only,0.0,0,reach-v3,clean,0.43333333333333335,0.4997174342809082,0.06451324335931523,60,809.8896025930884,509.3422139538326,65.75579707212029,60,133.8,76.76506090840537,9.910326748961733,60,0.11496998413509248,0.07018487658038447,0.0090608286050484,60,0.6107428932750232,0.10021129414694875,0.012937222444434177,60,0.0,0.0,0.0,60,,,,0,,,,0,-6.246728457716315,0.6529806484399359,0.08429943922678639,60,,,,0,,,,0,,,,0,0.3,0.5666666666666667
bc_plus_vjepa_value_planner,value_score,0.0,1,reach-v3,clean,0.4166666666666667,0.4971671160112441,0.06418399868645064,60,747.7143487523501,431.47368012996844,55.703012582339795,60,139.66666666666666,73.54939921096424,9.495186608920847,60,0.13179850397042123,0.08896692468199817,0.011485580588555616,60,0.5653322933836562,0.11681400720443609,0.01508062348355114,60,0.1591718682781869,0.003773907442011456,0.0004872093557679534,60,-0.6484383381481293,0.15521058730680942,0.020037600659811507,60,0.6484383381481293,0.15521058730680942,0.020037600659811507,60,-6.491528464918743,0.750679463896369,0.0969123020670183,60,0.005286037205387887,0.0019334039785226407,0.000249601380343645,60,3.641216250238507,3.4313805696283355,0.44298932668900876,60,0.0021171923968921432,0.0018060547015158446,0.00023316065937701577,60,0.3,0.55
bc_plus_de_vjepa_value_planner,value_score,0.0,1,reach-v3,clean,0.3333333333333333,0.4753826885415284,0.06137164119322156,60,916.8753773322679,467.3591822161127,60.33581098067073,60,150.96666666666667,71.17273489258648,9.18836056476743,60,0.12847148183637824,0.0715974809414375,0.009243195043886345,60,0.5404479564510314,0.12256307791298209,0.01582282532056339,60,0.1593804594560268,0.003227979721503729,0.0004167303901093066,60,-0.6574541858754409,0.1358346610796344,0.01753617933997176,60,0.6574541858754409,0.1358346610796344,0.01753617933997176,60,-6.545787781128598,0.750725290066667,0.09691821820016445,60,0.004347043562351708,0.0014507714478312038,0.00018729378855344915,60,3.2868971505212508,2.775831582221052,0.3583583163272906,60,0.002427424963432998,0.002009736228377884,0.00025945583142590833,60,0.21666666666666667,0.45
bc_plus_vjepa_value_planner,value_score,0.01,1,reach-v3,clean,0.38333333333333336,0.4903014177279001,0.06329764084940143,60,829.9983516963672,472.42330490131667,60.98958640810227,60,144.36666666666667,72.76755811571729,9.394251357545114,60,0.12403964425201469,0.07582626402227909,0.009789128592113784,60,0.5447605221505406,0.12882960337049149,0.016631830278414014,60,0.13062911790034193,0.010603775452804396,0.001368941524521148,60,-0.6573719656912173,0.14463270372570827,0.018672001761553984,60,0.6575611912813576,0.14462147549944215,0.018670552203776114,60,-6.359188294434874,0.7445401087258748,0.09611971472262576,60,0.005396526296793267,0.001930260917001429,0.00024919561284605305,60,3.879869867146932,3.392257865319524,0.43793860728078793,60,0.0023633132667328946,0.0017828394353553098,0.0002301635814030983,60,0.26666666666666666,0.5166666666666667
bc_plus_de_vjepa_value_planner,value_score,0.01,1,reach-v3,clean,0.4,0.49403218175557095,0.06377928041432807,60,938.8144042192531,504.5775640921372,65.14068341995844,60,143.71666666666667,70.64187351553831,9.119826655685689,60,0.1025133366917337,0.05587168079618626,0.007213002974941538,60,0.5063253545810726,0.12618589630435773,0.016290529163767782,60,0.12639799458277914,0.014331445118782265,0.0018501816090709762,60,-0.6678163581994983,0.13568969253535648,0.017517463981381348,60,0.6679977297935099,0.13567326566222798,0.01751534328117945,60,-6.557494418983791,0.7376159388604934,0.09522580823679463,60,0.004320972194191741,0.0014300970670730433,0.0001846247374744656,60,3.196157709104535,2.944887049835265,0.38018328334912904,60,0.00231696917705318,0.0020190914652312257,0.0002606635873103356,60,0.26666666666666666,0.5333333333333333
bc_plus_vjepa_value_planner,value_score,0.1,1,reach-v3,clean,0.4166666666666667,0.49716711601124414,0.06418399868645064,60,861.4268380333737,523.6098338844336,67.5977388848281,60,137.23333333333332,75.33954026727011,9.72629282553534,60,0.11125188456174666,0.06499368545218104,0.00839064871216468,60,0.5950789218000173,0.1089508154118329,0.014065489788191572,60,0.019974416343468825,0.012783924464755047,0.0016503975517056621,60,-0.6557669517812383,0.15323654394178474,0.019782752757230442,60,0.6559196308513432,0.153151730481723,0.019771803386618665,60,-6.24254086911541,0.7191704684854838,0.09284450825094882,60,0.00552535590203582,0.0021155336942395987,0.0002731142255376873,60,4.082745088809336,4.05677083602722,0.5237268629104455,60,0.0022253518435149965,0.001945591454079904,0.000251174776672498,60,0.3,0.5333333333333333
bc_plus_de_vjepa_value_planner,value_score,0.1,1,reach-v3,clean,0.43333333333333335,0.4997174342809082,0.06451324335931523,60,832.4893050204131,512.8795151087543,66.21246068757135,60,134.35,76.10314699833935,9.82487403061811,60,0.11096485612828826,0.0650955942462562,0.00840380508090752,60,0.595230129372608,0.10363547019387771,0.013379281671242117,60,0.015357336023028354,0.010542115169792294,0.0013609812162135376,60,-0.6498340061397168,0.14858296651565828,0.019181978494841292,60,0.649944388702561,0.14852219414653914,0.01917413281572436,60,-6.3029232195283615,0.6509639507840106,0.08403908467892858,60,0.004846534279175934,0.0018570666588212828,0.00023974627474706263,60,3.5415540768460914,3.1435245741292275,0.405827277466542,60,0.002328452925647865,0.002320908788821328,0.00029962803623904765,60,0.31666666666666665,0.55
bc_plus_vjepa_value_planner,value_score,0.3,1,reach-v3,clean,0.43333333333333335,0.4997174342809082,0.06451324335931523,60,812.1387401150334,508.6075638620413,65.6609541530937,60,133.95,76.60716986402952,9.8899431027823,60,0.1148846872094284,0.07016770877292998,0.009058612250636328,60,0.6094751049477745,0.10008481136970504,0.012920893588105945,60,0.0014215166926870727,0.0021040074442134375,0.0002716261930578358,60,-0.6486547532680442,0.1483396872746986,0.01915057127988413,60,0.6486748758901218,0.14832731395251078,0.019148973890858442,60,-6.247985924991124,0.6558237089631543,0.08466647676207588,60,0.00547985991823308,0.002204432634778697,0.00028459102941113434,60,3.9522867806602187,4.071207953755137,0.525590686794694,60,0.002066322789225613,0.001811972171774582,0.0002339246015024747,60,0.31625000000000003,0.55
bc_plus_de_vjepa_value_planner,value_score,0.3,1,reach-v3,clean,0.43333333333333335,0.4997174342809082,0.06451324335931523,60,811.8044098203336,508.6795753754616,65.67025079950076,60,133.91666666666666,76.62727125876903,9.892538181684357,60,0.11483665521099405,0.07017482771603444,0.0090595313022392,60,0.6093955088907639,0.09970500893509023,0.012871861304635537,60,0.0008850577829639486,0.0017586599279458633,0.00022704202041922214,60,-0.6473323281346061,0.14720287746720084,0.01900380976480933,60,0.6473436794915991,0.14719604410525322,0.01900292758157527,60,-6.255641084694836,0.6548042043801705,0.0845348592863666,60,0.0049753648596213,0.0019792087854077177,0.00025551475548505,60,3.7088646948001744,3.294898864718581,0.4253696143497596,60,0.0023650589941286914,0.0024230277601055648,0.0003128115387429037,60,0.31666666666666665,0.55
bc_only,bc_only,0.0,0,reach-v3,brightness,0.0,0.0,0.0,60,737.6101973576795,349.88466166693473,45.16991559098182,60,200.0,0.0,0.0,60,0.2377408172371552,0.05748262500888711,0.007420974978523525,60,0.9126210133483013,0.05233623585698813,0.006756578995909949,60,0.0,0.0,0.0,60,,,,0,,,,0,-4.656681467384101,0.3265806240780529,0.04216137727494412,60,,,,0,,,,0,,,,0,0.0,0.0
