candidate,baseline,shift,metric,pairs,candidate_mean,baseline_mean,mean_change,change_stderr,relative_change_percent,paired_t,paired_t_p,wilcoxon_w,wilcoxon_p
vjepa,persistence,blur,latent_mse,30,0.2413243203515974,0.2879303010895259,-0.046605980737928474,0.0009953164281176626,-16.186549509229085,-46.82529035119965,7.043033255521378e-29,0.0,1.7180929312456739e-06
vjepa,persistence,blur,decision_kl,30,613.6782337243941,480.4122985604141,133.2659351639799,48.977375565337205,27.73990914956168,2.7209692970624637,0.010889245102496026,64.0,0.0002562887966632843
vjepa,persistence,blur,action_mse,30,0.14579249368304464,0.14694966873752538,-0.0011571750544806332,0.002851628560940075,-0.787463533890318,-0.4057944538538203,0.6878722533198246,203.0,0.5561132747679949
vjepa,persistence,blur,nll,0,,,,,,,,,
vjepa,persistence,blur,uncertainty,0,,,,,,,,,
vjepa,persistence,brightness,latent_mse,30,0.05121179415409665,0.06321109110006182,-0.011999296945965158,0.00021869942993559045,-18.982897996445793,-54.86661281878554,7.471459299535951e-31,0.0,1.7180929312456739e-06
vjepa,persistence,brightness,decision_kl,30,308.51637793566437,386.5413928333798,-78.02501489771552,35.706033885922125,-20.1854229183027,-2.185205311432771,0.03709919225996084,184.0,0.3284698575735092
vjepa,persistence,brightness,action_mse,30,0.07941397049997331,0.08491828894447277,-0.005504318444499471,0.0028591241243256836,-6.481899850924564,-1.925176454449192,0.06406545687392816,149.0,0.08793856762349606
vjepa,persistence,brightness,nll,0,,,,,,,,,
vjepa,persistence,brightness,uncertainty,0,,,,,,,,,
vjepa,persistence,clean,latent_mse,30,0.0015061268659015692,0.005173186331297646,-0.003667059465396075,0.00040668809106942006,-70.88589566570332,-9.016884305004451,6.539636904427766e-10,0.0,1.7180929312456739e-06
vjepa,persistence,clean,decision_kl,30,0.3495686569876194,0.913281673561569,-0.5637130165739497,0.0904262331138962,-61.72389448871897,-6.23395443072284,8.400230076017227e-07,0.0,1.862645149230957e-09
vjepa,persistence,clean,action_mse,30,0.0007337387379107317,0.003122155863415249,-0.0023884171255045177,0.0003540006450162161,-76.49897154371682,-6.746928739056702,2.1000224627541485e-07,0.0,1.862645149230957e-09
vjepa,persistence,clean,nll,0,,,,,,,,,
vjepa,persistence,clean,uncertainty,0,,,,,,,,,
vjepa,persistence,desaturation,latent_mse,30,0.1982883651071307,0.25314767015035683,-0.054859305043226086,0.0017054858006774506,-21.67087100214766,-32.16638040694033,3.080658904324464e-24,0.0,1.7180929312456739e-06
vjepa,persistence,desaturation,decision_kl,30,3335.1342397999033,4263.651750858989,-928.517511059086,298.1728298038884,-21.77751761437879,-3.1140245463336895,0.004129164500023237,30.0,3.7904828786849976e-06
vjepa,persistence,desaturation,action_mse,30,0.3289533922943601,0.3626992272842118,-0.03374583498985167,0.00749990355370819,-9.304082405284081,-4.499502526691381,0.00010167456968228564,37.0,1.0609626770019531e-05
vjepa,persistence,desaturation,nll,0,,,,,,,,,
vjepa,persistence,desaturation,uncertainty,0,,,,,,,,,
vjepa,linear_dynamics,blur,latent_mse,30,0.2413243203515974,0.24612593156560003,-0.004801611214002566,0.002759898121840532,-1.9508757908846313,-1.7397784273284869,0.09250268633082323,143.0,0.06553413145258995
vjepa,linear_dynamics,blur,decision_kl,30,613.6782337243941,742.824659158834,-129.14642543444018,62.73270647258353,-17.38585598123305,-2.058677724846478,0.048607797789279074,132.0,0.03841841779649258
vjepa,linear_dynamics,blur,action_mse,30,0.14579249368304464,0.14632085629303415,-0.0005283626099894911,0.0034433245476685466,-0.3610986317161436,-0.15344548638240973,0.8791097597064123,214.0,0.7151329666376114
vjepa,linear_dynamics,blur,nll,0,,,,,,,,,
vjepa,linear_dynamics,blur,uncertainty,0,,,,,,,,,
vjepa,linear_dynamics,brightness,latent_mse,30,0.05121179415409665,0.05058051029731145,0.0006312838567852058,0.0005792339556320602,1.2480772793206893,1.0898598927895184,0.2847484829815542,177.0,0.25345574163856033
vjepa,linear_dynamics,brightness,decision_kl,30,308.51637793566437,279.5158036846004,29.00057425106392,43.54585032897795,10.37528965045123,0.6659779067803677,0.5106885073369054,192.0,0.4161298982799053
vjepa,linear_dynamics,brightness,action_mse,30,0.07941397049997331,0.06816232016582312,0.011251650334150194,0.0019267172718088147,16.50714105209086,5.839803534634363,2.4740483220108455e-06,13.0,1.6391277313232422e-07
vjepa,linear_dynamics,brightness,nll,0,,,,,,,,,
vjepa,linear_dynamics,brightness,uncertainty,0,,,,,,,,,
vjepa,linear_dynamics,clean,latent_mse,30,0.0015061268659015692,0.003748434900005541,-0.002242308034103971,0.00019610227996141305,-59.81984732082866,-11.434380235381195,2.9007818308974843e-12,0.0,1.7180929312456739e-06
vjepa,linear_dynamics,clean,decision_kl,30,0.3495686569876194,0.6253111743886445,-0.27574251740102496,0.01693555925909745,-44.09684788867135,-16.281866644167742,3.977691068701801e-16,0.0,1.862645149230957e-09
vjepa,linear_dynamics,clean,action_mse,30,0.0007337387379107317,0.0015232348324413058,-0.0007894960945305742,0.00011446471890031575,-51.83022851868743,-6.897287671829475,1.405673203181327e-07,0.0,1.862645149230957e-09
vjepa,linear_dynamics,clean,nll,0,,,,,,,,,
vjepa,linear_dynamics,clean,uncertainty,0,,,,,,,,,
vjepa,linear_dynamics,desaturation,latent_mse,30,0.1982883651071307,0.19204417627007814,0.006244188837052522,0.0009716640425410612,3.2514335807148407,6.426283739720306,4.981009755336419e-07,10.0,4.688335239692766e-06
vjepa,linear_dynamics,desaturation,decision_kl,30,3335.1342397999033,3116.008330785623,219.12590901427947,172.18458594502502,7.032263259675958,1.2726220980328742,0.2132611748026589,126.0,0.027741437777876854
vjepa,linear_dynamics,desaturation,action_mse,30,0.3289533922943601,0.29361580763540823,0.03533758465895187,0.011542695423280463,12.03531408732313,3.0614673057801984,0.004714463231055848,101.0,0.00577649287879467
vjepa,linear_dynamics,desaturation,nll,0,,,,,,,,,
vjepa,linear_dynamics,desaturation,uncertainty,0,,,,,,,,,
vjepa,no_action_vjepa,blur,latent_mse,30,0.2413243203515974,0.24117169486449452,0.0001526254871029161,0.00027689300909491336,0.06328499171043714,0.551207441465592,0.5857137101491637,217.0,0.7497752115297915
vjepa,no_action_vjepa,blur,decision_kl,30,613.6782337243941,614.0386616629688,-0.3604279385748711,7.328155177320337,-0.0586979226354808,-0.049183993768356256,0.9611098539298973,190.0,0.39305018074810505
vjepa,no_action_vjepa,blur,action_mse,30,0.14579249368304464,0.14718936598160332,-0.0013968722985586307,0.0004898758206752713,-0.949030719198302,-2.8514824361674074,0.007937399433021264,68.0,0.0003800932317972183
vjepa,no_action_vjepa,blur,nll,0,,,,,,,,,
vjepa,no_action_vjepa,blur,uncertainty,0,,,,,,,,,
vjepa,no_action_vjepa,brightness,latent_mse,30,0.05121179415409665,0.05103903324806498,0.00017276090603169186,0.00012062532932409918,0.3384878102843801,1.4322108548820083,0.1627749112097165,171.0,0.20570831684613844
vjepa,no_action_vjepa,brightness,decision_kl,30,308.51637793566437,313.5173811461692,-5.001003210504967,7.117915358903478,-1.5951278976055816,-0.7025938014631544,0.48791081025817257,172.0,0.22064675763249397
vjepa,no_action_vjepa,brightness,action_mse,30,0.07941397049997331,0.0802271890567072,-0.0008132185567338961,0.00034391837881057175,-1.013644583956552,-2.3645684756551266,0.024959375657484455,124.0,0.024786051362752914
vjepa,no_action_vjepa,brightness,nll,0,,,,,,,,,
vjepa,no_action_vjepa,brightness,uncertainty,0,,,,,,,,,
vjepa,no_action_vjepa,clean,latent_mse,30,0.0015061268659015692,0.0015096334011958739,-3.506535294304754e-06,8.306371745795737e-07,-0.23227727284829622,-4.22150055597931,0.0002185826260449663,61.0,0.0004173379600277084
vjepa,no_action_vjepa,clean,decision_kl,30,0.3495686569876194,0.35198577145586135,-0.0024171144682418877,0.0012655863915652906,-0.6867080047708665,-1.9098771007267035,0.06608491816514457,126.0,0.027741437777876854
vjepa,no_action_vjepa,clean,action_mse,30,0.0007337387379107317,0.0007365053207600727,-2.766582849340881e-06,1.937133729321465e-06,-0.375636505447886,-1.4281837167276799,0.16392092887252058,170.0,0.20540969260036945
vjepa,no_action_vjepa,clean,nll,0,,,,,,,,,
vjepa,no_action_vjepa,clean,uncertainty,0,,,,,,,,,
vjepa,no_action_vjepa,desaturation,latent_mse,30,0.1982883651071307,0.1988171336598815,-0.0005287685527508024,0.00022264524937876652,-0.2659572356854174,-2.3749375036125544,0.024382861881899337,136.0,0.04707415203957856
vjepa,no_action_vjepa,desaturation,decision_kl,30,3335.1342397999033,3488.2080906101205,-153.07385081021874,95.3859695120171,-4.38832336930463,-1.6047837181225473,0.11937794752838697,186.0,0.3492113798856735
vjepa,no_action_vjepa,desaturation,action_mse,30,0.3289533922943601,0.3317210236815603,-0.00276763138720019,0.00137023251468165,-0.8343249868470839,-2.0198260934153947,0.052726097326412105,161.0,0.1459994912147522
vjepa,no_action_vjepa,desaturation,nll,0,,,,,,,,,
vjepa,no_action_vjepa,desaturation,uncertainty,0,,,,,,,,,
cosine_jepa,vjepa,blur,latent_mse,30,0.2636071202277942,0.2413243203515974,0.022282799876196753,0.0011642275223263374,9.233549210345577,19.139557731526295,5.387785604297067e-18,0.0,1.7180929312456739e-06
cosine_jepa,vjepa,blur,decision_kl,30,607.8599720329286,613.6782337243941,-5.818261691465338,37.31951528848941,-0.9480964733186786,-0.15590399946217642,0.8771888927684365,224.0,0.871207794174552
cosine_jepa,vjepa,blur,action_mse,30,0.14274460575333434,0.14579249368304464,-0.003047887929710312,0.002284947956978759,-2.0905657436222143,-1.3338981837207093,0.19261904810384833,164.0,0.1641840822994709
cosine_jepa,vjepa,blur,nll,0,,,,,,,,,
cosine_jepa,vjepa,blur,uncertainty,0,,,,,,,,,
cosine_jepa,vjepa,brightness,latent_mse,30,0.0573103894709824,0.05121179415409665,0.006098595316885727,0.00031189357568581113,11.908575783412333,19.553449613304004,3.0249218831021884e-18,0.0,1.7180929312456739e-06
cosine_jepa,vjepa,brightness,decision_kl,30,312.68852613227483,308.51637793566437,4.172148196610481,27.214152726360417,1.352326325275512,0.15330803198474072,0.8792171767643226,232.0,1.0
cosine_jepa,vjepa,brightness,action_mse,30,0.07848250449127427,0.07941397049997331,-0.0009314660086990424,0.001101439079162511,-1.1729246162038396,-0.8456809153778081,0.40465472886392057,194.0,0.4399667661637068
cosine_jepa,vjepa,brightness,nll,0,,,,,,,,,
cosine_jepa,vjepa,brightness,uncertainty,0,,,,,,,,,
cosine_jepa,vjepa,clean,latent_mse,30,0.010456509250797722,0.0015061268659015692,0.00895038238489615,0.0008815192537194511,594.2648383433783,10.15336006233695,4.6675137813693256e-11,0.0,1.7180929312456739e-06
cosine_jepa,vjepa,clean,decision_kl,30,0.7458683363952648,0.3495686569876194,0.39629967940764543,0.09132466453938588,113.36819577096155,4.339459459352649,0.00015809070170023841,1.0,3.725290298461914e-09
cosine_jepa,vjepa,clean,action_mse,30,0.0009880026227105359,0.0007337387379107317,0.0002542638847998043,3.1258066792687197e-05,34.653190797013444,8.13434453532133,5.710195114057434e-09,1.0,3.725290298461914e-09
cosine_jepa,vjepa,clean,nll,0,,,,,,,,,
cosine_jepa,vjepa,clean,uncertainty,0,,,,,,,,,
cosine_jepa,vjepa,desaturation,latent_mse,30,0.21858125006606124,0.1982883651071307,0.020292884958930564,0.0007327815841764388,10.23402706859113,27.69295162041688,2.07422353645245e-22,0.0,1.7180929312456739e-06
cosine_jepa,vjepa,desaturation,decision_kl,30,3897.275463024488,3335.1342397999033,562.1412232245856,178.62237606593646,16.855130342768817,3.1470929656488127,0.0037971585118916767,40.0,1.597777009010315e-05
cosine_jepa,vjepa,desaturation,action_mse,30,0.3380133759786414,0.3289533922943601,0.009059983684281299,0.004241625716873734,2.7541846038097937,2.1359696232129854,0.04125154903493602,110.0,0.010598260909318924
cosine_jepa,vjepa,desaturation,nll,0,,,,,,,,,
cosine_jepa,vjepa,desaturation,uncertainty,0,,,,,,,,,
action_mse,vjepa,blur,latent_mse,30,0.24127079525797063,0.2413243203515974,-5.352509362685313e-05,6.01532093849523e-05,-0.022179734536854703,-0.889812766004182,0.3808888337305251,193.0,0.41634889141216636
action_mse,vjepa,blur,decision_kl,30,618.4181032708268,613.6782337243941,4.7398695464328116,1.8799255972840403,0.7723704843932122,2.5213069885747497,0.01744332655630386,124.0,0.024786051362752914
action_mse,vjepa,blur,action_mse,30,0.14607633987277013,0.14579249368304464,0.0002838461897254551,0.00016053976875131495,0.19469190940827277,1.7680739914678005,0.087569154368123,123.0,0.023410143330693245
action_mse,vjepa,blur,nll,0,,,,,,,,,
action_mse,vjepa,blur,uncertainty,0,,,,,,,,,
action_mse,vjepa,brightness,latent_mse,30,0.05128182117536054,0.05121179415409665,7.002702126388539e-05,3.036452838307851e-05,0.13674002721555426,2.3062113918064315,0.028441746930348896,150.0,0.08959057151399473
action_mse,vjepa,brightness,decision_kl,30,308.9313382765309,308.51637793566437,0.4149603408665297,2.395508301534329,0.13450188403063074,0.17322433848413157,0.8636785227362352,181.0,0.2988441474735737
action_mse,vjepa,brightness,action_mse,30,0.07947030454855222,0.07941397049997331,5.633404857889462e-05,0.0001447876490528587,0.07093720188554677,0.3890804840565395,0.7000589471823845,224.0,0.871207794174552
action_mse,vjepa,brightness,nll,0,,,,,,,,,
action_mse,vjepa,brightness,uncertainty,0,,,,,,,,,
action_mse,vjepa,clean,latent_mse,30,0.0015062241638950172,0.0015061268659015692,9.729799344800408e-08,2.1912670058868385e-07,0.006460145931316443,0.4440261875280969,0.6603193600542346,202.0,0.5302769456120784
action_mse,vjepa,clean,decision_kl,30,0.3387204886968092,0.3495686569876194,-0.010848168290810251,0.0015172727062268117,-3.1033011896127913,-7.149781477179355,7.203040550048765e-08,2.0,5.587935447692871e-09
action_mse,vjepa,clean,action_mse,30,0.0006699093242289787,0.0007337387379107317,-6.382941368175305e-05,1.4848840579796323e-05,-8.699201825366712,-4.2986126316556215,0.00017688577140430122,0.0,1.862645149230957e-09
action_mse,vjepa,clean,nll,0,,,,,,,,,
action_mse,vjepa,clean,uncertainty,0,,,,,,,,,
action_mse,vjepa,desaturation,latent_mse,30,0.19864312877828555,0.1982883651071307,0.00035476367115481187,6.486047133394152e-05,0.1789130042819916,5.469643742307555,6.882283095743961e-06,44.0,0.00010502885202188486
action_mse,vjepa,desaturation,decision_kl,30,3317.118881435123,3335.1342397999033,-18.015358364779154,22.549263545470712,-0.5401689128369241,-0.7989333367119102,0.43082409585243236,206.0,0.5978077705949545
action_mse,vjepa,desaturation,action_mse,30,0.32796759962286404,0.3289533922943601,-0.000985792671496076,0.00037045691420712436,-0.29967548430506863,-2.6610184172319546,0.012564842305052193,113.0,0.01283373311161995
action_mse,vjepa,desaturation,nll,0,,,,,,,,,
action_mse,vjepa,desaturation,uncertainty,0,,,,,,,,,
