method,planner_score,planner_alpha,planning_horizon,task,visual_condition,success_mean,success_std,success_count,return_mean,return_std,return_count,episode_length_mean,episode_length_std,episode_length_count,final_distance_to_goal_mean,final_distance_to_goal_std,final_distance_to_goal_count,mean_action_norm_mean,mean_action_norm_std,mean_action_norm_count,mean_action_deviation_from_bc_mean,mean_action_deviation_from_bc_std,mean_action_deviation_from_bc_count,mean_selected_planner_score_mean,mean_selected_planner_score_std,mean_selected_planner_score_count,mean_predicted_value_mean,mean_predicted_value_std,mean_predicted_value_count,mean_policy_entropy_mean,mean_policy_entropy_std,mean_policy_entropy_count,mean_prediction_latent_mse_mean,mean_prediction_latent_mse_std,mean_prediction_latent_mse_count,mean_decision_kl_mean,mean_decision_kl_std,mean_decision_kl_count,mean_action_mse_mean,mean_action_mse_std,mean_action_mse_count,success_stderr,return_stderr,episode_length_stderr,final_distance_to_goal_stderr,mean_action_norm_stderr,mean_action_deviation_from_bc_stderr,mean_selected_planner_score_stderr,mean_predicted_value_stderr,mean_policy_entropy_stderr,mean_prediction_latent_mse_stderr,mean_decision_kl_stderr,mean_action_mse_stderr
bc_only,bc_only,0.0,0,button-press-v3,background_shift,0.7666666666666667,0.4265218680850986,60,50.505080029001924,27.55764093878067,60,105.18333333333334,52.836649987682826,60,0.02226984464915253,0.011614007715701405,60,0.7753203124588234,0.02657102677616388,60,0.0,0.0,60,,,0,,,0,-0.9063998028507915,0.48800273455929827,60,,,0,,,0,,,0,0.05506373639622879,3.5576761472220415,6.82118218238953,0.0014993619488545328,0.003430304806523802,0.0,,,0.06300088212839469,,,
bc_only,bc_only,0.0,0,button-press-v3,brightness,0.35,0.48099473199130766,60,63.71741491432989,22.919375782515214,60,163.88333333333333,49.685482539080205,60,0.05716032871273431,0.03577855677686472,60,0.7918243247582788,0.036553505309760106,60,0.0,0.0,60,,,0,,,0,-2.301776932047462,0.532512598201236,60,,,0,,,0,,,0,0.06209615288719448,2.9588786903717,6.414368214071234,0.0046189918182711195,0.004719037243673509,0.0,,,0.06874708081596761,,,
bc_only,bc_only,0.0,0,button-press-v3,clean,0.9333333333333333,0.2515488742932317,60,63.59795036977693,33.80182674834581,60,78.56666666666666,33.12552739160166,60,0.019808823223086223,0.0014433635048346704,60,0.8488781983460504,0.04281763563576166,60,0.0,0.0,60,,,0,,,0,-2.7493472509427224,0.6291394206347269,60,,,0,,,0,,,0,0.03247482002983031,4.363797068924391,4.276487197400361,0.00018633742722494156,0.00552773299137607,0.0,,,0.08122154995202935,,,
bc_only,bc_only,0.0,0,drawer-open-v3,background_shift,0.0,0.0,60,662.4846067298128,273.1186173740976,60,200.0,0.0,60,0.15791693752860175,0.043879575605540545,60,0.35882480658777055,0.055779451334460814,60,0.0,0.0,60,,,0,,,0,-2.020088106388847,0.36070697291223575,60,,,0,,,0,,,0,0.0,35.25946188763585,0.0,0.005664828851963592,0.007201096202631793,0.0,,,0.04656706996499929,,,
bc_only,bc_only,0.0,0,drawer-open-v3,brightness,0.0,0.0,60,267.43372099528693,34.16039070679015,60,200.0,0.0,60,0.1900138420829033,6.47119804599242e-05,60,0.7274020106966297,0.11798427565551574,60,0.0,0.0,60,,,0,,,0,-6.179700331469377,1.0247518997593517,60,,,0,,,0,,,0,0.0,4.410087476911229,0.0,8.354280754046207e-06,0.015231704490938587,0.0,,,0.13229490139207936,,,
bc_only,bc_only,0.0,0,drawer-open-v3,clean,1.0,0.0,60,373.25434491077795,36.684237373269625,60,93.1,6.547609215635733,60,0.027645907328364087,0.0012702862952139182,60,1.186722126512129,0.023202790426955038,60,0.0,0.0,60,,,0,,,0,-8.301665975987323,0.5632385990937742,60,,,0,,,0,,,0,0.0,4.735914680499765,0.8452927149877133,0.00016399325554263412,0.002995467363637925,0.0,,,0.07271379047437944,,,
bc_only,bc_only,0.0,0,reach-v3,background_shift,0.15,0.3600847357902756,60,697.3599105416334,307.86266786308863,60,177.76666666666668,53.71436277534699,60,0.23960925111136683,0.09043597753514244,60,0.6704678452597882,0.04903907933777642,60,0.0,0.0,60,,,0,,,0,-2.906789362105009,0.2586498703531438,60,,,0,,,0,,,0,0.04648673949797451,39.744899518424255,6.934494416035417,0.011675234496386492,0.00633091791961841,0.0,,,0.033391554679214445,,,
bc_only,bc_only,0.0,0,reach-v3,brightness,0.0,0.0,60,737.6101973576795,349.8846616669348,60,200.0,0.0,60,0.23774081723715523,0.05748262500888709,60,0.9126210133483013,0.052336235856988114,60,0.0,0.0,60,,,0,,,0,-4.6566814673841,0.32658062407805283,60,,,0,,,0,,,0,0.0,45.16991559098183,0.0,0.007420974978523522,0.0067565789959099475,0.0,,,0.042161377274944116,,,
bc_only,bc_only,0.0,0,reach-v3,clean,0.43333333333333335,0.4997174342809082,60,809.8896025930884,509.3422139538325,60,133.8,76.76506090840537,60,0.11496998413509253,0.07018487658038447,60,0.6107428932750232,0.10021129414694874,60,0.0,0.0,60,,,0,,,0,-6.246728457716315,0.6529806484399361,60,,,0,,,0,,,0,0.06451324335931523,65.75579707212027,9.910326748961733,0.0090608286050484,0.012937222444434175,0.0,,,0.08429943922678641,,,
bc_plus_de_vjepa_value_planner,value_score,0.0,1,button-press-v3,background_shift,0.5333333333333333,0.5030977485864634,60,74.2072139616316,29.854640539798034,60,136.88333333333333,60.57803250848341,60,0.04598684110879559,0.0389344003008531,60,0.7266604867576774,0.10059173963094062,60,0.16018335628954816,0.003273169931803862,60,-0.5196476301303801,0.05669612071013613,60,0.5196476301303801,0.05669612071013613,60,-1.16126906062167,0.4783707360353353,60,0.010573884740869843,0.002130374676206896,60,4.068982337567356,1.2621576655056843,60,0.0012586371944723206,0.00033157493853694505,60,0.06494964005966063,3.8542175205882194,7.820590368378925,0.005026409465325903,0.012986337745222187,0.0004225644211727741,0.007319437710164089,0.007319437710164089,0.06175739646592793,0.0002750301880710442,0.16294385395971822,4.28061404991112e-05
bc_plus_de_vjepa_value_planner,value_score,0.0,1,button-press-v3,brightness,0.48333333333333334,0.503939284299098,60,68.96703857391535,23.753304895221632,60,154.41666666666666,49.02793795954478,60,0.05263443831857253,0.03737171833958024,60,0.722222242270279,0.054720204026496674,60,0.15958455898727336,0.0034211003787332325,60,-0.6916748583777345,0.04876729987585297,60,0.6916748583777345,0.04876729987585297,60,-2.6373004296928784,0.44281609686783824,60,0.007600940281374121,0.0006045556973156532,60,3.703226335154872,1.0022398767682723,60,0.0020829352192236307,0.00041250487833188287,60,0.06505828185300304,3.0665384758860164,6.329479573873579,0.004824668091611618,0.007064347963189789,0.00044166215975125655,0.006295831341956052,0.006295831341956052,0.057167312286723594,7.804780491861124e-05,0.12938861172094973,5.325415080028997e-05
bc_plus_de_vjepa_value_planner,value_score,0.0,1,button-press-v3,clean,0.43333333333333335,0.4997174342809082,60,128.16193571480858,60.9460601482948,60,147.06666666666666,62.91314073257,60,0.049257595621248464,0.036956001311955367,60,0.7698577337769767,0.09841482803579808,60,0.15889729218357782,0.0033756116987425718,60,-0.743916270045586,0.12237738315279927,60,0.743916270045586,0.12237738315279927,60,-3.4698965262324792,1.005930105844133,60,0.004729139270409314,0.0010773838856458528,60,1.7109129915394041,1.312808078672584,60,0.0013976589198014624,0.000861245600782132,60,0.06451324335931523,7.868102532376709,8.122051543828237,0.004770999254120753,0.012705299666750425,0.00043578959641643025,0.015798852230107855,0.015798852230107855,0.1298650182460997,0.0001390896615526208,0.16948279418218246,0.00011118632896078662
bc_plus_de_vjepa_value_planner,value_score,0.0,1,drawer-open-v3,background_shift,0.016666666666666666,0.12909944487358055,60,341.8164375382377,106.40367576782499,60,198.98333333333332,7.875066137288415,60,0.18707195036468513,0.020756038998977603,60,0.3893831726240298,0.08129642746945404,60,0.15965717882889477,0.0026293984718242422,60,-0.5081339920700418,0.0427860215895451,60,0.5081339920700418,0.0427860215895451,60,-2.1669247878359306,0.3582080336674753,60,0.009360925532410108,0.0028448917758667172,60,90.9449456944015,36.340713700582675,60,0.007824707229721862,0.001491270294350438,60,0.016666666666666663,13.736655474134663,1.0166666666666666,0.0026795931125423974,0.010495323656511821,0.0003394538830639507,0.005523651635559305,0.005523651635559305,0.04624445829572792,0.00036727394898980795,4.691565965054947,0.00019252216715710262
bc_plus_de_vjepa_value_planner,value_score,0.0,1,drawer-open-v3,brightness,0.11666666666666667,0.3237317715130933,60,417.8967915684645,121.73374192249389,60,196.6,11.351398032318997,60,0.16598920933248917,0.05374428461302643,60,0.8608889913032641,0.11206746977028857,60,0.15344932602731626,0.0055488166824669794,60,-0.4782780520682637,0.06317287355847755,60,0.4782780520682637,0.06317287355847755,60,-6.137222167644823,0.8448472010162019,60,0.00641560322394841,0.0009654384628833145,60,264.3139334007448,209.84445503256595,60,0.00893861398434554,0.005029038805613951,60,0.04179359199028117,15.715758504577682,1.465459184511437,0.0069383573086694295,0.014467848135731026,0.00071634915341175,0.008155582907468347,0.008155582907468347,0.10906930465418999,0.0001246375696178388,27.090802654503303,0.0006492461180524556
bc_plus_de_vjepa_value_planner,value_score,0.0,1,drawer-open-v3,clean,0.2,0.4033755872716886,60,294.4916593147549,115.05652654877794,60,184.4,33.91724724998992,60,0.15370936128362192,0.06652066641405267,60,1.0667992632279275,0.042842329136270216,60,0.14968768269884766,0.004804297145280387,60,-0.51028571490057,0.04729348593058701,60,0.51028571490057,0.04729348593058701,60,-6.696514901485043,1.6826853314940442,60,0.008272844689835178,0.002739952443859896,60,37.57378268587052,50.97832286012489,60,0.006722785994496295,0.004301724586563,60,0.05207556439232955,14.853733706529615,4.378697791613676,0.008587781106674835,0.005530920908583711,0.0006202320944634258,0.006105562779775276,0.006105562779775276,0.21723374219279798,0.00035372633948232296,6.581273181828285,0.0005553502561243161
bc_plus_de_vjepa_value_planner,value_score,0.0,1,reach-v3,background_shift,0.06666666666666667,0.2515488742932317,60,647.7052365602088,316.7344930291098,60,190.5,36.23159965498793,60,0.2718712655436864,0.10776942454157094,60,0.6310989152255059,0.09168831084825844,60,0.1600934586577566,0.002706670763504926,60,-0.46930127668755356,0.04016995393227499,60,0.46930127668755356,0.04016995393227499,60,-2.743561863869859,0.477374340728471,60,0.012574808328809741,0.00193817373442993,60,3.270817653587,1.5689897804039046,60,0.0014236812665720368,0.0004666075293369217,60,0.03247482002983031,40.89024722237304,4.677479402340754,0.013912972882662038,0.01183691003190646,0.0003494296930240364,0.0051859187532540055,0.0051859187532540055,0.06162876238493711,0.0002502171531834585,0.20255570966246514,6.0238773011229546e-05
bc_plus_de_vjepa_value_planner,value_score,0.0,1,reach-v3,brightness,0.06666666666666667,0.2515488742932317,60,821.2256961531225,373.3322784532707,60,191.3,33.1847933318045,60,0.18415378579601704,0.07378415926311224,60,0.8093809456323967,0.05466911144664513,60,0.15949618852587352,0.0027733601064075203,60,-0.6113815965718782,0.04219429917731576,60,0.6113815965718782,0.04219429917731576,60,-4.771364100883515,0.4581293336042162,60,0.007065100045265868,0.0007273395769957724,60,4.944098630245015,1.7917261959179944,60,0.0026874898812453947,0.0006496457508292933,60,0.03247482002983031,48.196989901706246,4.284138397380459,0.009525494001331647,0.0070577519394937945,0.0003580392501717452,0.005447260600621241,0.005447260600621241,0.05914424264860771,9.389913562473912e-05,0.2313108572584653,8.38689057965422e-05
bc_plus_de_vjepa_value_planner,value_score,0.0,1,reach-v3,clean,0.3333333333333333,0.4753826885415283,60,916.875377332268,467.3591822161127,60,150.96666666666667,71.17273489258646,60,0.12847148183637827,0.07159748094143749,60,0.5404479564510314,0.1225630779129821,60,0.1593804594560268,0.0032279797215037207,60,-0.6574541858754409,0.13583466107963438,60,0.6574541858754409,0.13583466107963438,60,-6.545787781128598,0.7507252900666671,60,0.004347043562351759,0.001450771447831201,60,3.2868971505212503,2.775831582221052,60,0.0024274249634330548,0.002009736228377885,60,0.061371641193221554,60.33581098067073,9.188360564767429,0.009243195043886343,0.01582282532056339,0.0004167303901093055,0.017536179339971758,0.017536179339971758,0.09691821820016447,0.00018729378855344877,0.3583583163272906,0.0002594558314259085
bc_plus_de_vjepa_value_planner,value_score,0.01,1,button-press-v3,background_shift,0.7333333333333333,0.4459484908564835,60,52.93650729516749,28.158562583622178,60,109.68333333333334,55.000613761341725,60,0.02487181490728092,0.019007091251484774,60,0.7536228533464465,0.037722407537820093,60,0.02759919719331223,0.019031917279408294,60,-0.4885575987071548,0.044844705878171326,60,0.48857693334704994,0.04484935916460707,60,-0.9318911062268084,0.5042852039886405,60,0.010529860290398381,0.0017106984054891079,60,3.745538052091206,1.1448358066835376,60,0.0011909364757132965,0.0002515591498259907,60,0.057571702611783036,3.6352547979835994,7.1005487042954325,0.002453804929228174,0.004869941872427545,0.0024570099556515163,0.005789426634390913,0.0057900273710866056,0.06510293989289383,0.00022085021449476323,0.1477976671142425,3.247614659540528e-05
bc_plus_de_vjepa_value_planner,value_score,0.01,1,button-press-v3,brightness,0.7166666666666667,0.45441960250548497,60,52.20309002567877,21.616666980713067,60,123.98333333333333,48.37476988660433,60,0.033343850212400314,0.02780733238520947,60,0.7499856774171749,0.04647863416311413,60,0.10211876830857398,0.010474256739634698,60,-0.6546903715941474,0.062332699586013125,60,0.6548099999420853,0.06233499257575449,60,-2.421539645967752,0.4679281165793026,60,0.007878781712844193,0.0006970507270454118,60,3.9478250060943365,1.2714157394911814,60,0.0022383677294315384,0.00046740602600745456,60,0.058665318423131246,2.7906997072271156,6.24515593824782,0.0035899111743456814,0.006000365868940271,0.0013522207305501994,0.008047116914025959,0.008047412937728671,0.060409260091128056,8.998886191028839e-05,0.16413906617184443,6.034185848812874e-05
