method,planner_score,planner_alpha,planning_horizon,task,visual_condition,success_mean,success_std,success_stderr,success_count,return_mean,return_std,return_stderr,return_count,episode_length_mean,episode_length_std,episode_length_stderr,episode_length_count,final_distance_to_goal_mean,final_distance_to_goal_std,final_distance_to_goal_stderr,final_distance_to_goal_count,mean_action_norm_mean,mean_action_norm_std,mean_action_norm_stderr,mean_action_norm_count,mean_action_deviation_from_bc_mean,mean_action_deviation_from_bc_std,mean_action_deviation_from_bc_stderr,mean_action_deviation_from_bc_count,mean_selected_planner_score_mean,mean_selected_planner_score_std,mean_selected_planner_score_stderr,mean_selected_planner_score_count,mean_predicted_value_mean,mean_predicted_value_std,mean_predicted_value_stderr,mean_predicted_value_count,mean_predicted_progress_selected_mean,mean_predicted_progress_selected_std,mean_predicted_progress_selected_stderr,mean_predicted_progress_selected_count,mean_predicted_progress_bc_action_mean,mean_predicted_progress_bc_action_std,mean_predicted_progress_bc_action_stderr,mean_predicted_progress_bc_action_count,mean_policy_entropy_mean,mean_policy_entropy_std,mean_policy_entropy_stderr,mean_policy_entropy_count,mean_prediction_latent_mse_mean,mean_prediction_latent_mse_std,mean_prediction_latent_mse_stderr,mean_prediction_latent_mse_count,mean_decision_kl_mean,mean_decision_kl_std,mean_decision_kl_stderr,mean_decision_kl_count,mean_action_mse_mean,mean_action_mse_std,mean_action_mse_stderr,mean_action_mse_count,success_ci_low,success_ci_high
bc_only,bc_only,0.0,0,reach-v3,clean,0.43333333333333335,0.4997174342809081,0.06451324335931521,60,750.1642100942728,474.98695166939643,61.320551782713316,60,133.9,76.46328464240264,9.871367600544758,60,0.12326768518201923,0.0772569289546161,0.00997382664067859,60,0.6136449071761821,0.08281736703965856,0.010691676110711488,60,0.0,0.0,0.0,60,,,,0,,,,0,,,,0,,,,0,-6.226228050367404,0.7265870464278171,0.0938019843461657,60,,,,0,,,,0,,,,0,0.31666666666666665,0.5666666666666667
bc_plus_vjepa_value_planner,value_score,0.0,1,reach-v3,clean,0.36666666666666664,0.48596110141697085,0.06273730842308473,60,826.1461202380196,440.58554845111547,56.879349724361035,60,147.31666666666666,70.9608370545347,9.161004671505035,60,0.13763882459994345,0.0856956150310033,0.011063256328602592,60,0.5544355215409785,0.12081526753378548,0.015597183970864825,60,0.15962277893104246,0.003727648342508457,0.0004812373317017645,60,-0.6506617622811856,0.12376611475735665,0.01597813670933461,60,0.6506617622811856,0.12376611475735665,0.01597813670933461,60,0.6506617622811856,0.12376611475735665,0.01597813670933461,60,0.649739565612159,0.1240026019409164,0.01600866707345189,60,-6.656366460649204,0.9796423205533423,0.12647127975810274,60,0.0050377275189442995,0.0018684487765327376,0.0002412156998250972,60,4.0367096361669175,4.0565617729229135,0.5236998729797359,60,0.0022911731255955666,0.002015231885071441,0.00026016531765426235,60,0.25,0.5
bc_plus_de_vjepa_value_planner,value_score,0.0,1,reach-v3,clean,0.4166666666666667,0.4971671160112441,0.06418399868645064,60,791.1262293468083,419.275781179044,54.12827059915141,60,141.73333333333332,71.65758187064381,9.250954040483267,60,0.13584511134430616,0.08455255984208859,0.010915688538253837,60,0.5453119386084311,0.12370349378600351,0.015970052376695475,60,0.1591083656722309,0.004929497248611121,0.0006363953583015385,60,-0.6211994323410892,0.12718512597065593,0.016419529158988092,60,0.6211994323410892,0.12718512597065593,0.016419529158988092,60,0.6211994323410892,0.12718512597065593,0.016419529158988092,60,0.6203834260097776,0.12731928317108696,0.016436848779089533,60,-6.672698147904487,0.8931972809497003,0.11531127313319788,60,0.0042719610943937735,0.0014332227670490658,0.00018502826360621146,60,3.559246515953052,3.5780088944673483,0.4619189620284683,60,0.0023729664350254755,0.0023118652693532226,0.0002984605228960118,60,0.3,0.55
bc_plus_vjepa_value_planner,value_score,0.01,1,reach-v3,clean,0.35,0.48099473199130766,0.06209615288719448,60,865.7014098972098,472.96190192612255,61.059118985015274,60,148.06666666666666,71.89938041426227,9.28217009823565,60,0.13315806591259596,0.0789071130609423,0.010186864492744509,60,0.5385537878271083,0.13683099656800582,0.01766480569842836,60,0.1308519460492873,0.015087922221676948,0.0019478423831142543,60,-0.6543463998510456,0.1340478224213084,0.017305499461103217,60,0.6545379278398229,0.1340330308269505,0.01730358987448282,60,0.6545379278398229,0.1340330308269505,0.01730358987448282,60,0.6536557233420336,0.1342189281442521,0.017327589114949943,60,-6.504643322334592,0.9900660964048883,0.12781698343402398,60,0.0052636809959932165,0.002026450622105835,0.0002616136503775853,60,4.045359951661954,4.021088965879365,0.5191203532823061,60,0.002245125764990525,0.0018455486567934129,0.00023825930707921185,60,0.23333333333333334,0.4666666666666667
bc_plus_de_vjepa_value_planner,value_score,0.01,1,reach-v3,clean,0.38333333333333336,0.4903014177279001,0.06329764084940143,60,832.0013373062974,425.36880907811906,54.91487711852125,60,144.93333333333334,71.0835904844303,9.176852071160885,60,0.1374909903622617,0.07875279040332096,0.010166941523314179,60,0.5255733869942373,0.11729056032358551,0.015142146226686103,60,0.13039715352577455,0.011103807866514895,0.0014334954315499697,60,-0.6395875003436744,0.11504568548706451,0.014852334131480571,60,0.6397747262165391,0.11503079132034448,0.014850411302825162,60,0.6397747262165391,0.11503079132034448,0.014850411302825162,60,0.6390053493116866,0.11517595800775429,0.014869152241583904,60,-6.631740824109616,0.8422498684481386,0.10873399046150095,60,0.004438011350475471,0.0015827344531136453,0.00020433013927926173,60,3.623432675392389,3.2532007576995503,0.4199864118813236,60,0.0024982638421649885,0.002203418337482336,0.00028446008419323734,60,0.26666666666666666,0.5
bc_plus_vjepa_value_planner,value_score,0.1,1,reach-v3,clean,0.43333333333333335,0.49971743428090815,0.06451324335931521,60,779.193344975967,478.14626736609904,61.728417685338016,60,135.16666666666666,74.9981167371841,9.682215237334459,60,0.12000317646342977,0.07495353871380946,0.00967646023926323,60,0.5865250946472678,0.09818275512185819,0.01267533918239059,60,0.023115083449211538,0.014653824477509934,0.0018918006053214192,60,-0.6516288272426352,0.1332773465467272,0.017206031453406302,60,0.6518145063601438,0.13320183008343284,0.01719628231991618,60,0.6518145063601438,0.13320183008343284,0.01719628231991618,60,0.6515168052431854,0.13332758117267207,0.017212516715729216,60,-6.36203740451002,0.7730100304239172,0.09979516580943734,60,0.0055325183247521255,0.002082466453285247,0.00026884526308697953,60,3.7748932942986575,3.910883919400655,0.5048929429596375,60,0.002042745088513065,0.0019251961373204635,0.0002485417526008334,60,0.31666666666666665,0.55
bc_plus_de_vjepa_value_planner,value_score,0.1,1,reach-v3,clean,0.4666666666666667,0.5030977485864635,0.06494964005966064,60,728.3272496652044,457.40574847018485,59.05082820948548,60,129.73333333333332,76.03742759641614,9.816389692312399,60,0.11863591837809936,0.07585793248787617,0.009793216973442365,60,0.6010520528649275,0.08218539385791176,0.010610088723772986,60,0.018006123473033986,0.013666452184682633,0.0017643313904338602,60,-0.639257102291692,0.13503175871320383,0.01743252509017789,60,0.6393922469809666,0.1349706404448622,0.01742463475566335,60,0.6393922469809666,0.1349706404448622,0.01742463475566335,60,0.6391872261396363,0.13506611972505161,0.017436961077732734,60,-6.31724118150527,0.7155837994330622,0.09238147126733594,60,0.004930736917506756,0.0018521070399152167,0.000239105990699505,60,3.4063886358850715,3.399848244817042,0.43891852106029733,60,0.002117838263617045,0.002239889859218357,0.0002891685374030524,60,0.3333333333333333,0.5837499999999978
bc_plus_vjepa_value_planner,value_score,0.3,1,reach-v3,clean,0.45,0.501692052213544,0.06476816543825592,60,733.069238393378,458.8161973479892,59.23291637663259,60,131.88333333333333,76.21359184503054,9.839132399015089,60,0.12252520837156762,0.07797949625427877,0.010067109677948844,60,0.60840277590893,0.08146104290003275,0.010516575417217159,60,0.002028132648772454,0.002973080469985394,0.0003838230382395983,60,-0.6432268369513943,0.13392795263396526,0.017290024338100105,60,0.6432586085220822,0.13390703682057467,0.017287324118202302,60,0.6432586085220822,0.13390703682057467,0.017287324118202302,60,0.6432172911449714,0.133933811760561,0.01729078074809106,60,-6.279276134020292,0.7124712090182613,0.09197963757266632,60,0.0055675654069075676,0.002235880916427682,0.0002886509851142463,60,3.695345481383292,3.779598369574936,0.4879440513572144,60,0.0019368692547418666,0.001782188635429856,0.00023007956349399846,60,0.3333333333333333,0.5833333333333334
bc_plus_de_vjepa_value_planner,value_score,0.3,1,reach-v3,clean,0.45,0.501692052213544,0.06476816543825592,60,732.0179747017171,458.41348696024266,59.18092668912969,60,131.85,76.27755406564428,9.847389886189205,60,0.1225637573836832,0.07775398242624108,0.010037995967937863,60,0.6087636144105911,0.08180753294989924,0.010561307090309143,60,0.001013454758768633,0.001554926824025917,0.00020074018980078558,60,-0.6405500903104233,0.13489744233311962,0.01741518492007159,60,0.6405633646868693,0.13488989379597155,0.017414210408116165,60,0.6405633646868693,0.13488989379597155,0.017414210408116165,60,0.6405467628803578,0.13489908502902018,0.017415396991200448,60,-6.269418470640357,0.7100171816224315,0.09166282399816014,60,0.005035274800805261,0.0019296737777321261,0.00024911981349232256,60,3.423743471677578,3.3335446493401055,0.4303587636911024,60,0.002109344121908182,0.0022260054198921905,0.0002873760639936634,60,0.31666666666666665,0.5833333333333334
bc_only,bc_only,0.0,0,reach-v3,brightness,0.0,0.0,0.0,60,766.3734025155438,351.8008682486703,45.41729679694699,60,200.0,0.0,0.0,60,0.23492447947085046,0.059963045265624584,0.007741195856721517,60,0.8923807135572036,0.06340500411762498,0.008185550833792474,60,0.0,0.0,0.0,60,,,,0,,,,0,,,,0,,,,0,-4.71523877120018,0.3880086015174064,0.05009169506207149,60,,,,0,,,,0,,,,0,0.0,0.0
