method,planner_score,task,visual_condition,success_mean,success_std,success_stderr,success_count,return_mean,return_std,return_stderr,return_count,episode_length_mean,episode_length_std,episode_length_stderr,episode_length_count,final_distance_to_goal_mean,final_distance_to_goal_std,final_distance_to_goal_stderr,final_distance_to_goal_count,mean_action_norm_mean,mean_action_norm_std,mean_action_norm_stderr,mean_action_norm_count,mean_action_deviation_from_bc_mean,mean_action_deviation_from_bc_std,mean_action_deviation_from_bc_stderr,mean_action_deviation_from_bc_count,mean_selected_planner_score_mean,mean_selected_planner_score_std,mean_selected_planner_score_stderr,mean_selected_planner_score_count,mean_policy_entropy_mean,mean_policy_entropy_std,mean_policy_entropy_stderr,mean_policy_entropy_count,mean_prediction_latent_mse_mean,mean_prediction_latent_mse_std,mean_prediction_latent_mse_stderr,mean_prediction_latent_mse_count,mean_decision_kl_mean,mean_decision_kl_std,mean_decision_kl_stderr,mean_decision_kl_count,mean_action_mse_mean,mean_action_mse_std,mean_action_mse_stderr,mean_action_mse_count,success_ci_low,success_ci_high
bc_only,bc_only,reach-v3,clean,0.38333333333333336,0.4903014177279001,0.06329764084940143,60,802.5670030562238,455.4687372315998,58.80076113387027,60,141.4,75.26477556385834,9.716640743828743,60,0.12382551931154709,0.06952503498194824,0.008975643420985788,60,0.6031705125922653,0.09370093053490688,0.012096738116194413,60,0.0,0.0,0.0,60,,,,0,-6.069883516002461,0.7151959897976153,0.09233140525868312,60,,,,0,,,,0,,,,0,0.26666666666666666,0.5166666666666667
bc_plus_vjepa,entropy_score,reach-v3,clean,0.4666666666666667,0.5030977485864635,0.06494964005966064,60,703.8232919478611,441.3533704224146,56.978475114617495,60,128.86666666666667,77.58439181373625,10.016101914007717,60,0.12257602429099727,0.08220028060545746,0.010612010594617109,60,0.7206047268531351,0.09379874706934799,0.012109366176490216,60,0.14751137713758278,0.005231703810463082,0.00067541005767378,60,-6.458367920869274,0.8013071073650541,0.10344830273408309,60,-6.083357365673264,0.8033476293811861,0.10371173299361806,60,0.0059195467311264705,0.0025350827447764793,0.0003272777750592364,60,4.256672806895269,4.14874070902674,0.5356001224597771,60,0.0024660200828785783,0.002166242642121098,0.00027966072255931223,60,0.3333333333333333,0.6
bc_plus_de_vjepa,entropy_score,reach-v3,clean,0.4,0.494032181755571,0.06377928041432807,60,755.6594075511604,490.9659458802342,63.38343106497063,60,136.0,79.22848315077654,10.228353192941082,60,0.1253432820987704,0.07402734200942677,0.009556888758883686,60,0.7463711075231367,0.10084532166375536,0.013019075044888483,60,0.14672923768608678,0.005317028858160162,0.0006864254739652848,60,-6.399852827809623,0.5990432869807235,0.07733615580445641,60,-6.00024321009688,0.7152292191764877,0.09233569515304904,60,0.0053016921648981535,0.0020483513767296205,0.0002644410256418285,60,4.266993048524467,3.47971738328884,0.4492295824995376,60,0.0027790261646171185,0.0022483237412650146,0.00029025734689340515,60,0.2833333333333333,0.5333333333333333
bc_plus_vjepa,decision_consistency_score,reach-v3,clean,0.23333333333333334,0.42652186808509857,0.05506373639622878,60,882.6963829846262,410.45299613686296,52.989253947966915,60,167.68333333333334,60.56527272197333,7.818943087023768,60,0.15393638175079422,0.08136675661592982,0.010504403110280279,60,0.7005258153029497,0.13698076577926357,0.017684140820460888,60,0.15050900960784283,0.006577149618997097,0.000849106364663007,60,3.478486856538426,2.9232064047750987,0.3773843241073605,60,-5.876663160812301,0.9443832865972767,0.12191935804759595,60,0.0063789456073268325,0.002022644993159054,0.000261122345793161,60,3.865383471451074,3.000686660023921,0.38738698204864674,60,0.002414447861838341,0.0017507209953396578,0.00022601710862687224,60,0.13333333333333333,0.3333333333333333
bc_plus_de_vjepa,decision_consistency_score,reach-v3,clean,0.18333333333333332,0.3902049294994231,0.05037523978531016,60,886.6010749452777,398.2890234157866,51.418891822218576,60,173.55,56.83858351745922,7.337829579504631,60,0.1589559391548962,0.0792592492874101,0.010232325084101379,60,0.7082269828026415,0.13525482900021824,0.017461323340399237,60,0.15135773101098016,0.006518152948429667,0.0008414899272433624,60,3.9252228872415147,3.3892645968424664,0.4375521779820422,60,-5.810212561929351,0.9851420751512965,0.12718129502363956,60,0.005952627044460313,0.0019464088408859034,0.0002512803008553995,60,4.314328990349455,3.4729942891412113,0.4483616347772459,60,0.00307785077906319,0.002411290454487349,0.0003112962591032805,60,0.1,0.2833333333333333
bc_plus_vjepa,action_mean_consistency_score,reach-v3,clean,0.38333333333333336,0.4903014177279001,0.06329764084940143,60,802.6027377630578,455.48236912136275,58.802521003271245,60,141.4,75.26477556385834,9.716640743828743,60,0.12381274237527538,0.06950793319666959,0.008973435589999966,60,0.6031819661184075,0.09367822441234896,0.012093806768376954,60,2.7251162169234073e-05,6.680995233147237e-05,8.625127758023461e-06,60,0.00190620039131801,0.0017181563227900885,0.00022181302747823292,60,-6.069929491500361,0.7150605644036457,0.09231392191549986,60,0.005764933325006888,0.0021209490241436194,0.0002738133416221037,60,4.088858040761002,4.106866911288686,0.5301942384170458,60,0.002187396433433883,0.0018446258731693189,0.0002381401762256029,60,0.26666666666666666,0.5
bc_plus_de_vjepa,action_mean_consistency_score,reach-v3,clean,0.38333333333333336,0.4903014177279001,0.06329764084940143,60,802.6244138580262,455.5171143693757,58.807006595501704,60,141.4,75.26477556385834,9.716640743828743,60,0.12377822458141323,0.06947400314389571,0.008969055239022326,60,0.6032787121886702,0.0937145414599619,0.012098495279063232,60,6.288887696184925e-05,0.0001898737832205233,2.4512600009816136e-05,60,0.0022730300493596046,0.002260375674492984,0.00029181324478278945,60,-6.070167145151658,0.7150576411158553,0.09231354452066892,60,0.0053094795497633926,0.0019533556058170033,0.0002521771243516718,60,4.2316539993632585,3.975695282486723,0.513260053955549,60,0.0025744360821406613,0.0023775837553726207,0.0003069447429590483,60,0.26625000000000004,0.5166666666666667
bc_plus_vjepa,random_candidate_control,reach-v3,clean,0.35,0.4809947319913076,0.06209615288719447,60,850.4638769552724,451.9648071687407,58.34840570787931,60,147.03333333333333,73.31473056292387,9.464891016729602,60,0.12860820000341464,0.06889300284045814,0.008894048422377154,60,0.6382839005424009,0.08650785772817314,0.011168116409909837,60,0.1087439645638871,0.0044811723775922425,0.0005785168663299817,60,0.00137838060840721,9.993985168016585e-05,1.2902179372657389e-05,60,-6.084210349790228,0.6499204172970008,0.08390436508504863,60,0.005830580501969117,0.001999060207213714,0.0002580775630201554,60,4.2087762438056195,3.7585055334587087,0.48522097792380003,60,0.002295120473361358,0.0018326274842371114,0.0002365911908750776,60,0.23333333333333334,0.4666666666666667
bc_plus_de_vjepa,random_candidate_control,reach-v3,clean,0.35,0.4809947319913076,0.06209615288719447,60,850.4638769552724,451.9648071687407,58.34840570787931,60,147.03333333333333,73.31473056292387,9.464891016729602,60,0.12860820000341464,0.06889300284045814,0.008894048422377154,60,0.6382839005424009,0.08650785772817314,0.011168116409909837,60,0.1087439645638871,0.0044811723775922425,0.0005785168663299817,60,0.00137838060840721,9.993985168016585e-05,1.2902179372657389e-05,60,-6.084210349790228,0.6499204172970008,0.08390436508504863,60,0.005358445738835776,0.0018327358883513559,0.00023660518578604855,60,4.198918201526179,3.710926886194182,0.47907860097411376,60,0.0026135186111016914,0.0023004626241854187,0.00029698844773475794,60,0.23333333333333334,0.48333333333333334
bc_only,bc_only,reach-v3,brightness,0.08333333333333333,0.2787178067853022,0.0359823141323644,60,723.9516130338411,362.33071894342265,46.776694676241206,60,186.03333333333333,46.73000947261549,6.032818281851821,60,0.21635708141582125,0.0730920551343142,0.009436143742509107,60,0.9081121293459345,0.056156027189935155,0.007249711936526324,60,0.0,0.0,0.0,60,,,,0,-4.731762046896762,0.36385508222420737,0.04697348912957618,60,,,,0,,,,0,,,,0,0.016666666666666666,0.16666666666666666
