method,lambda,reference_policy_type,shift,metric,pairs,mean,std,stderr,baseline_mean,relative_change_percent,paired_t,paired_t_p,wilcoxon_w,wilcoxon_p
action_mse_1e-1,0.1,strong,brightness,latent_mse,6,0.05119362720927079,0.0001610544679303325,6.57502112041253e-05,0.05112585771054898,0.13255425288997358,0.9471581424324554,0.38705078866482473,7.0,0.59375
action_mse_1e-1,0.1,strong,brightness,decision_kl,6,322.05388730360033,146.37157340236192,59.7559446140201,322.1195378486111,-0.02038080193745876,-0.019656674330593378,0.9850775429933166,9.0,0.84375
action_mse_1e-1,0.1,strong,brightness,action_mse,6,0.07570175114714608,0.014915420398669851,0.0060891948793067975,0.07567174344854062,0.03965509084096889,0.09741752051150841,0.9261793759451065,10.0,1.0
action_mse_1e-1,0.1,strong,clean,latent_mse,6,0.0015073615414809543,0.00011601386716281659,4.7362462939321566e-05,0.0015073137980981064,0.003167448139075139,0.23393894118560504,0.8243092434637638,10.0,0.875
action_mse_1e-1,0.1,strong,clean,decision_kl,6,0.32345318418343955,0.02986715109231267,0.012193213374462547,0.33434486098009075,-3.257617528417694,-11.208310629691121,9.868677120600017e-05,0.0,0.03125
action_mse_1e-1,0.1,strong,clean,action_mse,6,0.0006385798004400195,4.368469126440111e-05,1.7834200528133407e-05,0.0006998440340889555,-8.753983839940668,-11.26609126813926,9.626277612800585e-05,0.0,0.03125
action_mse_1e-2,0.01,strong,brightness,latent_mse,6,0.05113605342201639,6.28583730648369e-05,2.56618233450594e-05,0.05112585771054898,0.01994237734872585,1.088306250757366,0.3261136393414095,7.0,0.59375
action_mse_1e-2,0.01,strong,brightness,decision_kl,6,322.05766465132274,144.05434460227258,58.809939917769995,322.1195378486111,-0.019208147913541626,-0.1505040251231016,0.8862501837482414,9.0,0.84375
action_mse_1e-2,0.01,strong,brightness,action_mse,6,0.07568188975662776,0.014856927420506082,0.006065315220967298,0.07567174344854062,0.01340831811816456,0.302049149040389,0.7747749102614186,10.0,1.0
action_mse_1e-2,0.01,strong,clean,latent_mse,6,0.0015072896166305127,0.0001155576894322171,4.717622916065665e-05,0.0015073137980981064,-0.001604275607655731,-1.4369899247969025,0.21022182906676942,7.0,0.59375
action_mse_1e-2,0.01,strong,clean,decision_kl,6,0.33284780229768596,0.031637896627149754,0.012916117211906306,0.33434486098009075,-0.44775884337397975,-18.5467674945548,8.385514557517678e-06,0.0,0.03125
action_mse_1e-2,0.01,strong,clean,action_mse,6,0.0006901166073728181,5.471887666696418e-05,2.233888785539109e-05,0.0006998440340889555,-1.3899420788519565,-13.0630537519391,4.69020151510437e-05,0.0,0.03125
action_mse_1e-3,0.001,strong,brightness,latent_mse,6,0.05112721636802964,6.826243276519037e-05,2.7868021479293362e-05,0.05112585771054898,0.00265747616079558,1.7790235030228765,0.13536506333037876,3.0,0.125
action_mse_1e-3,0.001,strong,brightness,decision_kl,6,322.0886432280782,143.7418307863167,58.68235668665968,322.1195378486111,-0.00959104211414001,-0.5757694100505979,0.5897138976590571,7.0,0.5625
action_mse_1e-3,0.001,strong,brightness,action_mse,6,0.07567306774055034,0.014841129411223454,0.006058865710684934,0.07567174344854062,0.0017500482338159904,0.285072431488212,0.7870195953924136,10.0,1.0
action_mse_1e-3,0.001,strong,clean,latent_mse,6,0.001507312313552775,0.00011552070257303857,4.7161129338627385e-05,0.0015073137980981064,-9.848946738052297e-05,-0.9797161329303988,0.3722199614125267,10.0,0.875
action_mse_1e-3,0.001,strong,clean,decision_kl,6,0.33418532936310336,0.03179297758522642,0.012979428747924604,0.33434486098009075,-0.04771469090918547,-16.84149948427565,1.3493764179383856e-05,0.0,0.03125
action_mse_1e-3,0.001,strong,clean,action_mse,6,0.000698793729735961,5.61465352039415e-05,2.2921727012478223e-05,0.0006998440340889555,-0.15007691740372428,-13.526772623554937,3.9557849122007164e-05,0.0,0.03125
action_mse_1e-4,0.0001,strong,brightness,latent_mse,6,0.05112591692772727,6.903347792482358e-05,2.8182799347584054e-05,0.05112585771054898,0.000115826278413051,2.6777008045972037,0.04394099847586585,3.0,0.125
action_mse_1e-4,0.0001,strong,brightness,decision_kl,6,322.1139660138344,143.72423281248172,58.675172343925915,322.1195378486111,-0.001729741329552541,-1.4782166649812254,0.199402360188515,4.0,0.21875
action_mse_1e-4,0.0001,strong,brightness,action_mse,6,0.07567182804794152,0.014840002073256735,0.006058405476887246,0.07567174344854062,0.00011179787467016822,0.19355040133261198,0.8541451060603644,10.0,1.0
action_mse_1e-4,0.0001,strong,clean,latent_mse,6,0.0015073133592329166,0.0001155209888928868,4.716124622821595e-05,0.0015073137980981064,-2.911571501584529e-05,-1.990232075281401,0.10321938842687048,3.0,0.125
action_mse_1e-4,0.0001,strong,clean,decision_kl,6,0.33432884744322716,0.0318092123447308,0.01298605656073836,0.33434486098009075,-0.004789526842628541,-16.518363487536913,1.4844472184000598e-05,0.0,0.03125
action_mse_1e-4,0.0001,strong,clean,action_mse,6,0.0006997380431640519,5.6294629061024015e-05,2.298218607646036e-05,0.0006998440340889555,-0.015144935119959926,-13.6423782813651,3.7946470655702575e-05,0.0,0.03125
latent_only,0.0,none,brightness,latent_mse,6,0.05112585771054898,6.906474731680225e-05,2.819556502340319e-05,0.05112585771054898,0.0,,,,
latent_only,0.0,none,brightness,decision_kl,6,322.1195378486111,143.72618074237153,58.67596758297337,322.1195378486111,0.0,,,,
latent_only,0.0,none,brightness,action_mse,6,0.07567174344854062,0.014839905786934258,0.006058366168160699,0.07567174344854062,0.0,,,,
latent_only,0.0,none,clean,latent_mse,6,0.0015073137980981064,0.0001155208347457043,4.716118329789221e-05,0.0015073137980981064,0.0,,,,
latent_only,0.0,none,clean,decision_kl,6,0.33434486098009075,0.031811092077927046,0.012986823958602253,0.33434486098009075,0.0,,,,
latent_only,0.0,none,clean,action_mse,6,0.0006998440340889555,5.631115938236628e-05,2.2988934551889157e-05,0.0006998440340889555,0.0,,,,
policy_KL_1e-2,0.01,strong,brightness,latent_mse,6,0.051141057263630406,0.00019561749794903423,7.986050912251145e-05,0.05112585771054898,0.029729678409467865,0.1462848821616927,0.8894114580801988,10.0,0.875
policy_KL_1e-2,0.01,strong,brightness,decision_kl,6,243.51138233101923,133.71821988855186,54.59023467337223,322.1195378486111,-24.403411243727767,-3.4204534725185542,0.018828954205691854,0.0,0.03125
policy_KL_1e-2,0.01,strong,brightness,action_mse,6,0.07109627524273038,0.014056794100212674,0.00573866216081434,0.07567174344854062,-6.046468598839299,-2.6469499272224883,0.04559334800291126,3.0,0.15625
policy_KL_1e-2,0.01,strong,clean,latent_mse,6,0.0017426744325035523,0.00014448492732751388,5.8985724579253035e-05,0.0015073137980981064,15.614574397343043,13.587158083177709,3.8706172982664256e-05,0.0,0.03125
policy_KL_1e-2,0.01,strong,clean,decision_kl,6,0.2637727633947404,0.02656498585628051,0.01084511006202322,0.33434486098009075,-21.107576583793442,-22.740814081149228,3.0571580470495096e-06,0.0,0.03125
policy_KL_1e-2,0.01,strong,clean,action_mse,6,0.0006440305731208282,3.928144282197045e-05,1.603658187902342e-05,0.0006998440340889555,-7.975128492848309,-4.06741686160833,0.009658434131767603,0.0,0.03125
