method,planner_score,planner_alpha,planning_horizon,task,visual_condition,success_mean,success_std,success_stderr,success_count,return_mean,return_std,return_stderr,return_count,episode_length_mean,episode_length_std,episode_length_stderr,episode_length_count,final_distance_to_goal_mean,final_distance_to_goal_std,final_distance_to_goal_stderr,final_distance_to_goal_count,mean_action_norm_mean,mean_action_norm_std,mean_action_norm_stderr,mean_action_norm_count,mean_action_deviation_from_bc_mean,mean_action_deviation_from_bc_std,mean_action_deviation_from_bc_stderr,mean_action_deviation_from_bc_count,mean_selected_planner_score_mean,mean_selected_planner_score_std,mean_selected_planner_score_stderr,mean_selected_planner_score_count,mean_predicted_value_mean,mean_predicted_value_std,mean_predicted_value_stderr,mean_predicted_value_count,mean_policy_entropy_mean,mean_policy_entropy_std,mean_policy_entropy_stderr,mean_policy_entropy_count,mean_prediction_latent_mse_mean,mean_prediction_latent_mse_std,mean_prediction_latent_mse_stderr,mean_prediction_latent_mse_count,mean_decision_kl_mean,mean_decision_kl_std,mean_decision_kl_stderr,mean_decision_kl_count,mean_action_mse_mean,mean_action_mse_std,mean_action_mse_stderr,mean_action_mse_count,success_ci_low,success_ci_high
bc_only,bc_only,0.0,0,reach-v3,clean,0.3333333333333333,0.5773502691896258,0.33333333333333337,3,940.333087036725,736.5397523728807,425.241424301343,3,146.33333333333334,92.95339333952975,53.66666666666667,3,0.10500232494828365,0.07902036954971138,0.04562243163098958,3,0.667634930812523,0.02714266299239395,0.01567082378518194,3,0.0,0.0,0.0,3,,,,0,,,,0,-5.083344409180502,0.8311222183283822,0.4798486364813704,3,,,,0,,,,0,,,,0,0.0,1.0
bc_plus_vjepa_cem,cem_value,0.1,3,reach-v3,clean,0.3333333333333333,0.5773502691896258,0.33333333333333337,3,1120.4441415282563,610.7391709062209,352.6104247273555,3,154.0,79.67433714816836,46.00000000000001,3,0.10896841244222714,0.06294508514974148,0.03634136185536716,3,0.5319712694013311,0.038271732322099405,0.022096194958517393,3,0.08747948535307437,0.01592356802176138,0.00919347628382325,3,-1.9195473889958474,0.1364761952559126,0.07879456806897707,3,1.9208485094113374,0.13614491002826354,0.07860330045361534,3,-6.297616098965368,0.609935632281578,0.35214650148611365,3,0.004569019960267332,0.001150994646867069,0.0006645270692045206,3,5.77837259330947,6.338576634478443,3.659578926195201,3,0.0024665464678788663,0.001982969298002333,0.0011448678579964104,3,0.0,1.0
bc_plus_de_vjepa_cem,cem_value,0.1,3,reach-v3,clean,0.3333333333333333,0.5773502691896258,0.33333333333333337,3,929.9231958302292,612.3246524609735,353.5258029297871,3,147.66666666666666,90.64399226277125,52.333333333333336,3,0.132895729560874,0.07621751416543261,0.044004202320376634,3,0.6561726292424886,0.08840110514556945,0.05103840185245494,3,0.11938152656320104,0.04892977582364004,0.028249619243166622,3,-1.7545670662069506,0.29245443902718316,0.1688486490980452,3,1.7562132116701712,0.291820449763426,0.16848261522595168,3,-5.822866563358048,0.26545686829972576,0.15326159437108172,3,0.00421350052084,0.0011409388050285865,0.0006587213262121445,3,3.9923113364912566,3.118660906769012,1.8005597140342515,3,0.0020728207575314334,0.001437332444924784,0.0008298442739923071,3,0.0,1.0
bc_only,bc_only,0.0,0,ALL,clean,0.3333333333333333,0.5773502691896258,0.33333333333333337,3,940.333087036725,736.5397523728807,425.241424301343,3,146.33333333333334,92.95339333952975,53.66666666666667,3,0.10500232494828365,0.07902036954971138,0.04562243163098958,3,0.667634930812523,0.02714266299239395,0.01567082378518194,3,0.0,0.0,0.0,3,,,,0,,,,0,-5.083344409180502,0.8311222183283822,0.4798486364813704,3,,,,0,,,,0,,,,0,0.0,1.0
bc_plus_vjepa_cem,cem_value,0.1,3,ALL,clean,0.3333333333333333,0.5773502691896258,0.33333333333333337,3,1120.4441415282563,610.7391709062209,352.6104247273555,3,154.0,79.67433714816836,46.00000000000001,3,0.10896841244222714,0.06294508514974148,0.03634136185536716,3,0.5319712694013311,0.038271732322099405,0.022096194958517393,3,0.08747948535307437,0.01592356802176138,0.00919347628382325,3,-1.9195473889958474,0.1364761952559126,0.07879456806897707,3,1.9208485094113374,0.13614491002826354,0.07860330045361534,3,-6.297616098965368,0.609935632281578,0.35214650148611365,3,0.004569019960267332,0.001150994646867069,0.0006645270692045206,3,5.77837259330947,6.338576634478443,3.659578926195201,3,0.0024665464678788663,0.001982969298002333,0.0011448678579964104,3,0.0,1.0
bc_plus_de_vjepa_cem,cem_value,0.1,3,ALL,clean,0.3333333333333333,0.5773502691896258,0.33333333333333337,3,929.9231958302292,612.3246524609735,353.5258029297871,3,147.66666666666666,90.64399226277125,52.333333333333336,3,0.132895729560874,0.07621751416543261,0.044004202320376634,3,0.6561726292424886,0.08840110514556945,0.05103840185245494,3,0.11938152656320104,0.04892977582364004,0.028249619243166622,3,-1.7545670662069506,0.29245443902718316,0.1688486490980452,3,1.7562132116701712,0.291820449763426,0.16848261522595168,3,-5.822866563358048,0.26545686829972576,0.15326159437108172,3,0.00421350052084,0.0011409388050285865,0.0006587213262121445,3,3.9923113364912566,3.118660906769012,1.8005597140342515,3,0.0020728207575314334,0.001437332444924784,0.0008298442739923071,3,0.0,1.0
