method,task,horizon,latent_mse,decision_kl,action_mse,latent_compounding_error_slope,decision_compounding_error_slope,count
bc_plus_de_vjepa,button-press-v3,1,0.0015528476509723153,0.16108580005356193,0.0002843406339332423,0.0010084074048051868,0.13626470700461307,3445
bc_plus_de_vjepa,button-press-v3,3,0.0036203758308869425,0.42643442444972346,0.0006977917289408591,0.0010084074048051868,0.13626470700461307,3445
bc_plus_de_vjepa,button-press-v3,5,0.005586477270193063,0.7061446280720142,0.001066601525579849,0.0010084074048051868,0.13626470700461307,3445
bc_plus_de_vjepa,drawer-open-v3,1,0.001178011295800176,0.367757653164361,0.00023245093471932322,0.0007193256411387124,0.28002429088772846,5076
bc_plus_de_vjepa,drawer-open-v3,3,0.0026133589457346777,0.9053194616087166,0.0006183702903030658,0.0007193256411387124,0.28002429088772846,5076
bc_plus_de_vjepa,drawer-open-v3,5,0.0040553138603550256,1.4878548167152748,0.0011123277957874847,0.0007193256411387124,0.28002429088772846,5076
bc_plus_de_vjepa,reach-v3,1,0.0019048606190788736,0.37247192696448556,0.0002831887640342514,0.0015276874192561493,0.3494304862210553,2120
bc_plus_de_vjepa,reach-v3,3,0.00494806221807112,1.0347600413481968,0.0007662685134794989,0.0015276874192561493,0.3494304862210553,2120
bc_plus_de_vjepa,reach-v3,5,0.008015610296103471,1.770193871848707,0.0012353399672331263,0.0015276874192561493,0.3494304862210553,2120
bc_plus_vjepa,button-press-v3,1,0.0013397309506852355,0.18893495186290155,0.00028372426512966866,0.0008858752261182981,0.14347651285620835,3445
bc_plus_vjepa,button-press-v3,3,0.003126140001161681,0.45263665293239286,0.0006490259711799822,0.0008858752261182981,0.14347651285620835,3445
bc_plus_vjepa,button-press-v3,5,0.004883231855158428,0.762841003287735,0.0009865803277159838,0.0008858752261182981,0.14347651285620835,3445
bc_plus_vjepa,drawer-open-v3,1,0.0010070067502816612,0.49051409785509537,0.0002562962110115098,0.0006117399027357046,0.3183000063472002,5076
bc_plus_vjepa,drawer-open-v3,3,0.002227342981108302,1.0609965836844855,0.0006242324644298013,0.0006117399027357046,0.3183000063472002,5076
bc_plus_vjepa,drawer-open-v3,5,0.0034539663612244797,1.763714123243896,0.0011238212377950763,0.0006117399027357046,0.3183000063472002,5076
bc_plus_vjepa,reach-v3,1,0.0016607149487102124,0.4538324411512563,0.0003261155540737602,0.0013778330501084401,0.4031978966867582,2120
bc_plus_vjepa,reach-v3,3,0.004346345331276029,1.2013189042610872,0.0007914363331552385,0.0013778330501084401,0.4031978966867582,2120
bc_plus_vjepa,reach-v3,5,0.007172047149143972,2.066624027898289,0.0012610214755722892,0.0013778330501084401,0.4031978966867582,2120
