method,planner_score,planner_alpha,planning_horizon,task,visual_condition,success_mean,success_std,success_count,return_mean,return_std,return_count,episode_length_mean,episode_length_std,episode_length_count,final_distance_to_goal_mean,final_distance_to_goal_std,final_distance_to_goal_count,mean_action_norm_mean,mean_action_norm_std,mean_action_norm_count,mean_action_deviation_from_bc_mean,mean_action_deviation_from_bc_std,mean_action_deviation_from_bc_count,mean_selected_planner_score_mean,mean_selected_planner_score_std,mean_selected_planner_score_count,mean_predicted_value_mean,mean_predicted_value_std,mean_predicted_value_count,mean_predicted_progress_selected_mean,mean_predicted_progress_selected_std,mean_predicted_progress_selected_count,mean_predicted_progress_bc_action_mean,mean_predicted_progress_bc_action_std,mean_predicted_progress_bc_action_count,mean_policy_entropy_mean,mean_policy_entropy_std,mean_policy_entropy_count,mean_prediction_latent_mse_mean,mean_prediction_latent_mse_std,mean_prediction_latent_mse_count,mean_decision_kl_mean,mean_decision_kl_std,mean_decision_kl_count,mean_action_mse_mean,mean_action_mse_std,mean_action_mse_count,success_stderr,return_stderr,episode_length_stderr,final_distance_to_goal_stderr,mean_action_norm_stderr,mean_action_deviation_from_bc_stderr,mean_selected_planner_score_stderr,mean_predicted_value_stderr,mean_predicted_progress_selected_stderr,mean_predicted_progress_bc_action_stderr,mean_policy_entropy_stderr,mean_prediction_latent_mse_stderr,mean_decision_kl_stderr,mean_action_mse_stderr
bc_only,bc_only,0.0,0,button-press-v3,background_shift,0.7333333333333333,0.4497764451088036,30,52.387115679609074,29.067076478719766,30,109.03333333333333,55.83997044098944,30,0.023205936238874295,0.013748206880473183,30,0.7750741006401546,0.031312779097105316,30,0.0,0.0,30,,,0,,,0,,,0,,,0,-0.9710739706182514,0.565393975393057,30,,,0,,,0,,,0,0.08211756827352529,5.306897822707549,10.194937140317204,0.002510067677894298,0.0057169051498869436,0.0,,,,,0.10322634473343271,,,
bc_only,bc_only,0.0,0,button-press-v3,brightness,0.36666666666666664,0.490132517853561,30,62.549202068226,22.790726207149024,30,161.3,51.752827675536665,30,0.055847415524637935,0.03614846185583147,30,0.7848872385949208,0.030033801569065474,30,0.0,0.0,30,,,0,,,0,,,0,,,0,-2.4045511474158454,0.5385723220204344,30,,,0,,,0,,,0,0.08948554539839963,4.160998281859893,9.448730377523027,0.006599775992517985,0.005483396869003738,0.0,,,,,0.09832940320617607,,,
bc_only,bc_only,0.0,0,button-press-v3,clean,0.9666666666666667,0.18257418583505536,30,60.05146930093109,26.914554496251743,30,74.7,24.152032826558766,30,0.019684076921839423,0.0010616842763808152,30,0.850752081204791,0.037688602225538034,30,0.0,0.0,30,,,0,,,0,,,0,,,0,-2.787414216251172,0.44081590657556446,30,,,0,,,0,,,0,0.03333333333333333,4.913902874266391,4.409537729570498,0.00019383614237410723,0.0068809658665888625,0.0,,,,,0.08048160524617551,,,
bc_only,bc_only,0.0,0,drawer-open-v3,background_shift,0.0,0.0,30,597.233486892935,284.1670505650362,30,200.0,0.0,30,0.1650180979633403,0.03900244462014896,30,0.360401855789125,0.05355985504265228,30,0.0,0.0,30,,,0,,,0,,,0,,,0,-1.9049640538990498,0.38654780514556375,30,,,0,,,0,,,0,0.0,51.881567898060496,0.0,0.007120839572100531,0.009778646927855825,0.0,,,,,0.07057365081077893,,,
bc_only,bc_only,0.0,0,drawer-open-v3,brightness,0.0,0.0,30,265.26584995503015,29.213981862035247,30,200.0,0.0,30,0.190000034686474,1.8998564576081182e-07,30,0.7171328728695711,0.10125560513372528,30,0.0,0.0,30,,,0,,,0,,,0,,,0,-6.007052863200506,1.022519497612449,30,,,0,,,0,,,0,0.0,5.33371895346116,0.0,3.4686474595127456e-08,0.018486659668525744,0.0,,,,,0.18668566477706272,,,
bc_only,bc_only,0.0,0,drawer-open-v3,clean,1.0,0.0,30,370.98425968465835,36.497751245367596,30,91.96666666666667,6.728648649147775,30,0.027501207852906762,0.0011947038523952658,30,1.1926381260561398,0.024480579841320575,30,0.0,0.0,30,,,0,,,0,,,0,,,0,-8.313355845572861,0.49565671677862805,30,,,0,,,0,,,0,0.0,6.663547218433367,1.2284775488883002,0.0002181220831650698,0.004469521933299173,0.0,,,,,0.09049412151953465,,,
bc_only,bc_only,0.0,0,reach-v3,background_shift,0.1,0.30512857662936466,30,691.8386572083011,282.43507502825537,30,184.4,47.67027556469327,30,0.25434311608602134,0.07926104647334702,30,0.6476642972995108,0.041822886476370294,30,0.0,0.0,30,,,0,,,0,,,0,,,0,-3.012297205644887,0.16693844463692936,30,,,0,,,0,,,0,0.055708601453115555,51.5653538745465,8.703361749756608,0.014471021028305818,0.007635779447695254,0.0,,,,,0.030478650614157842,,,
bc_only,bc_only,0.0,0,reach-v3,brightness,0.0,0.0,30,835.5902748200295,356.62468324625604,30,200.0,0.0,30,0.2217314170307329,0.059879399954483464,30,0.90447056419154,0.0676046548935054,30,0.0,0.0,30,,,0,,,0,,,0,,,0,-4.785460473438104,0.327047047920432,30,,,0,,,0,,,0,0.0,65.11046119236971,0.0,0.01093243269498147,0.01234286482584164,0.0,,,,,0.05971034850383121,,,
bc_only,bc_only,0.0,0,reach-v3,clean,0.43333333333333335,0.5040069329937309,30,795.6068371259977,493.36599455444616,30,134.8,75.99564415829688,30,0.11068502262381376,0.06439614410009821,30,0.6304455860435929,0.09409388484049386,30,0.0,0.0,30,,,0,,,0,,,0,,,0,-6.159446234943443,0.8102331150726038,30,,,0,,,0,,,0,0.09201865544655373,90.07589477448037,13.874842859211634,0.011757073579992335,0.017179114416810626,0.0,,,,,0.14792765132098137,,,
bc_plus_de_vjepa_cem,cem_value,0.01,1,button-press-v3,background_shift,0.7666666666666667,0.4301830671520763,30,51.69320831095386,26.370367663380453,30,103.43333333333334,54.37144492275799,30,0.028255283765445425,0.02503793429522104,30,0.7459992711918748,0.05315681191095697,30,0.04835335836019667,0.018240064971449907,30,-0.5346673424991464,0.05599114655317302,30,0.5346950804117191,0.055991069447872306,30,0.5346950804117191,0.055991069447872306,30,0.5346404228356153,0.05599131398481843,30,-0.9990847702889866,0.5670660818344232,30,0.010703827043751644,0.0016066622195415328,30,3.547914295642799,0.8459923253245533,30,0.0011733813839089019,0.00023005961931810124,30,0.07854032324531729,4.814548406312758,9.926822289448095,0.004571280468941593,0.009705061656230142,0.0033301650117409792,0.01022253799591683,0.01022252391847933,0.01022252391847933,0.010222568564613175,0.1035316282055947,0.00029333504664473835,0.15445636001883561,4.200294769052511e-05
bc_plus_de_vjepa_cem,cem_value,0.01,1,button-press-v3,brightness,0.5333333333333333,0.5074162634049248,30,67.1404493386052,25.057028852623738,30,142.96666666666667,54.63577414196631,30,0.049640848156657494,0.036661771020366336,30,0.7136137266856385,0.0497927432677123,30,0.10862067209585652,0.030957495723286748,30,-0.6442984305212935,0.056013020653129256,30,0.6444535049132295,0.05600995832414732,30,0.6444535049132295,0.05600995832414732,30,0.6441376113945997,0.05601644114692016,30,-2.6491679821051717,0.45139293257222995,30,0.007848165020091355,0.0007244112251646911,30,3.9170262953313983,1.3677260227283636,30,0.002266916948403941,0.0005024022851599436,30,0.09264111117062016,4.5747666422132705,9.97508198143747,0.006693492995314611,0.009090869562596507,0.005652039577171287,0.010226531641907215,0.010225972539686578,0.010225972539686578,0.010227156135776242,0.08241269715607293,0.00013225878964421845,0.24971146504504943,9.172568817474803e-05
bc_plus_de_vjepa_cem,cem_value,0.01,1,button-press-v3,clean,0.03333333333333333,0.18257418583505536,30,145.35294413741914,40.28124070450039,30,196.53333333333333,18.98771532684576,30,0.09156139642409683,0.02479860859060595,30,0.7619659052333898,0.10178934713183492,30,0.16988478143218283,0.06740043713137552,30,-0.7993631294911159,0.060823533918373966,30,0.7998434919550395,0.06055027648908761,30,0.7998434919550395,0.06055027648908761,30,0.7986092912938394,0.06129743073931031,30,-3.5137066943438517,0.5761533978032519,30,0.007863716402121806,0.001997115482226595,30,2.34747692213558,2.314701851593178,30,0.0022519108181798453,0.002087688783089254,30,0.03333333333333333,7.354314726050051,3.466666666666667,0.004527585773272091,0.01858410717927659,0.012305579934187719,0.011104807184758002,0.011054917432082666,0.011054917432082666,0.011191328511010276,0.1051907375200295,0.0003646217331861045,0.42260480600551964,0.00038115807984949804
bc_plus_de_vjepa_cem,cem_value,0.01,1,drawer-open-v3,background_shift,0.0,0.0,30,607.6516678630269,283.9554143556518,30,200.0,0.0,30,0.16762173332163888,0.037829557445255166,30,0.36700763914501294,0.1059763605436465,30,0.06244699559174478,0.02199839729911843,30,-0.605274693335096,0.034631222861022964,30,0.6053193683177233,0.0346415182409779,30,0.6053193683177233,0.0346415182409779,30,0.6052306924561659,0.034620748479946485,30,-1.9635457718173663,0.36297452120055484,30,0.00918664430004234,0.001999226089092101,30,119.5567661483499,73.99280147989266,30,0.008266802751499805,0.001951137221569983,30,0.0,51.84292858943892,0.0,0.006906700651067919,0.019348547744018545,0.004016339476562629,0.006322767318323624,0.0063246469889367595,0.0063246469889367595,0.00632085496672646,0.06626977768706034,0.00036500707551619224,13.509175487846283,0.00035622728968061167
bc_plus_de_vjepa_cem,cem_value,0.01,1,drawer-open-v3,brightness,0.1,0.30512857662936466,30,341.5808587043351,156.2252134074158,30,195.6,13.474369027514983,30,0.17370142137952363,0.04929808121471153,30,0.8871133329748405,0.1206729865834997,30,0.1241198905298703,0.03809805479234036,30,-0.4127474318733819,0.05361746620805806,30,0.41294130768473275,0.05364174630438215,30,0.41294130768473275,0.05364174630438215,30,0.4124731055423147,0.05356388616796184,30,-6.138462263667121,0.6541351274314051,30,0.0065449970456161344,0.0008733408643453608,30,161.98901761198653,143.93619532352022,30,0.008140244291206047,0.005006140755969729,30,0.055708601453115555,28.522691144766714,2.460071954839635,0.009000557041006394,0.02203177227776702,0.0069557213356108705,0.009789165239474793,0.00979359815829316,0.00979359815829316,0.009779382907277217,0.11942818831689898,0.0001594494972643378,26.279033673387207,0.0009139920726968618
