candidate,candidate_planner_score,baseline,baseline_planner_score,planner_alpha,planning_horizon,metric,visual_condition,mean_difference,stderr,paired_t_pvalue,bootstrap_ci_low,bootstrap_ci_high,paired_units
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.01,1,success,ALL,0.033333333333333326,0.03580574370197164,0.3604439572195635,-0.029629629629629634,0.10740740740740741,27
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.01,1,success,background_shift,-3.0839528461809902e-18,0.03726779962499649,0.9999999999999999,-0.06666666666666667,0.06666666666666665,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.01,1,success,brightness,0.09999999999999999,0.08819171036881969,0.28967221373087393,-0.055555555555555566,0.26666666666666666,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.01,1,success,clean,3.0839528461809902e-18,0.05000000000000001,1.0,-0.1,0.07777777777777778,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.01,1,return,ALL,36.97990325115694,18.495643995094166,0.05611869946855428,6.03424167252654,74.82313011983905,27
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.01,1,return,background_shift,32.469274882001805,17.260619894461374,0.09673891854676205,1.1535055648321866,63.84255103927788,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.01,1,return,brightness,54.50851800509432,46.9778381267198,0.27937842055500495,-24.057629002818494,150.12778214549928,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.01,1,return,clean,23.961916866374697,27.719789373461694,0.4125175715195786,-26.671080435079297,75.2710854099178,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.01,3,success,ALL,0.011111111111111115,0.04111457596856648,0.7891034760567817,-0.05925925925925926,0.0962962962962963,27
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.01,3,success,background_shift,0.06666666666666668,0.11902380714238085,0.590738011860034,-0.13333333333333333,0.30000000000000004,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.01,3,success,brightness,0.011111111111111112,0.011111111111111112,0.34659350708733416,0.0,0.03333333333333334,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.01,3,success,clean,-0.044444444444444446,0.037679611017362606,0.27207046631074705,-0.12222222222222223,0.022222222222222223,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.01,3,return,ALL,16.90925578237408,33.58088759285947,0.6188257855311808,-49.289681717647795,77.93227781202496,27
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.01,3,return,background_shift,8.590500954977703,93.43083857620098,0.9290024170189227,-178.66864216727276,168.6403546100354,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.01,3,return,brightness,5.3383198769878675,44.024739907173135,0.9064776211707437,-67.00278510967186,91.67765681055384,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.01,3,return,clean,36.798946515156665,15.890430667035671,0.04924176865299516,9.031329544985093,68.42620498542351,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.01,5,success,ALL,-6.1679056923619804e-18,0.026148818018424544,0.9999999999999998,-0.048148148148148155,0.05185185185185185,27
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.01,5,success,background_shift,0.011111111111111112,0.020030840419244387,0.5942640159772072,-0.022222222222222227,0.044444444444444446,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.01,5,success,brightness,0.07777777777777778,0.05211573066470477,0.17393859716506616,0.0,0.18888888888888888,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.01,5,success,clean,-0.08888888888888888,0.04230985058813282,0.06884076594582837,-0.18888888888888886,-0.022222222222222223,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.01,5,return,ALL,10.65257289492316,23.30808554216132,0.6514428354985764,-38.001368291133566,52.55102679788783,27
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.01,5,return,background_shift,18.826496574083926,65.9962646206525,0.7826864538516158,-111.50225278491068,126.637097982329,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.01,5,return,brightness,14.205778763365807,19.86662323828642,0.49490892187937874,-22.961024664131067,51.04643173026074,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.01,5,return,clean,-1.074556652680242,22.79345645718057,0.9635547221253097,-43.69200861102435,44.42277026737692,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.1,1,success,ALL,0.022222222222222223,0.011111111111111112,0.05604818752951312,0.003703703703703703,0.04444444444444445,27
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.1,1,success,background_shift,0.0,0.0,,0.0,0.0,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.1,1,success,brightness,0.022222222222222216,0.014698618394803279,0.16902020301916992,0.0,0.055555555555555546,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.1,1,success,clean,0.044444444444444446,0.029397236789606564,0.16902020301916992,0.0,0.1111111111111111,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.1,1,return,ALL,3.829964841520487,6.771820623085236,0.5765322803977107,-9.722505130170068,15.623660799162879,27
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.1,1,return,background_shift,2.5241987025665904,2.3251385582567914,0.309277342146831,-0.16579529927800093,7.43403039774453,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.1,1,return,brightness,8.018523692728625,6.657945164089422,0.2628721359086253,-5.205904376789721,19.594966490152554,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.1,1,return,clean,0.9471721292662463,19.847712984530812,0.9631076681160626,-38.609684553657914,34.47463954161033,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.1,3,success,ALL,-0.018518518518518517,0.03887192683945422,0.6377699365203272,-0.09999999999999998,0.05555555555555554,27
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.1,3,success,background_shift,-0.022222222222222216,0.014698618394803279,0.16902020301916992,-0.055555555555555546,0.0,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.1,3,success,brightness,0.09999999999999999,0.05773502691896257,0.1215029188171132,0.011111111111111103,0.21111111111111108,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.1,3,success,clean,-0.13333333333333336,0.08819171036881969,0.16902020301916987,-0.3111111111111111,0.011111111111111108,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.1,3,return,ALL,30.727035236214117,17.506865597564182,0.09101328353502398,-2.1444991006537095,66.1502946044994,27
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.1,3,return,background_shift,12.402792978995658,8.014000322470652,0.16029762656097313,-0.22517546545770303,29.444550616751055,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.1,3,return,brightness,62.91967984174615,33.97372767156296,0.10116409461143853,6.297408677744888,131.08803315233186,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.1,3,return,clean,16.85863288790055,39.67723366229219,0.6821109912814519,-54.273540680207354,87.9128944124266,9
bc_plus_de_vjepa_cem,cem_value,bc_plus_vjepa_cem,cem_value,0.1,5,success,ALL,-0.06666666666666667,0.03202563076101743,0.04735905928673772,-0.12962962962962962,-0.011111111111111108,27
